model,dim,n_ref,cos_mean,cos_std,svd_mean,svd_std,full_mean,full_std,logreg_mean,logreg_std
all-MiniLM-L6-v2,384,2,0.7018783055555555,0.07012385019426205,0.7031332777777777,0.07111169072323145,,,0.6981806388888888,0.08399139093294221
all-MiniLM-L6-v2,384,3,0.718447625,0.052909024768956765,0.7263583055555556,0.04860393917671741,,,0.7221617222222223,0.07210521733312586
all-MiniLM-L6-v2,384,4,0.7277352500000001,0.04533948293200207,0.7394400833333333,0.043062862918972815,,,0.7412381388888889,0.061231386459989115
all-MiniLM-L6-v2,384,5,0.7320456805555555,0.04515428354027726,0.7524019444444444,0.033353101447528066,,,0.7586299444444444,0.05092301994246298
all-MiniLM-L6-v2,384,7,0.7435098888888889,0.03840758097311663,0.7671880277777778,0.029797221120224645,,,0.7807889444444445,0.04473191512738933
all-MiniLM-L6-v2,384,10,0.7540186388888889,0.027038204730085766,0.7811475833333332,0.02072658831524782,0.7878591388888888,0.031411113214731355,0.8052463888888889,0.029463368981937646
all-MiniLM-L6-v2,384,15,0.75917,0.02040680636687697,0.7871250277777777,0.017553300723827662,0.7954092500000001,0.028965055072991613,0.8206801944444444,0.025180324018548795
all-MiniLM-L6-v2,384,20,0.7608012638888888,0.018228061924298156,0.7902957500000001,0.015675300996525757,0.7966253055555554,0.02588697173155008,0.8306714722222222,0.018597692776803523
all-MiniLM-L6-v2,384,30,0.7628949722222222,0.01726492253292227,0.7934194999999999,0.015272738695454511,0.7970715833333334,0.02262035503711384,0.8423525555555555,0.014213591515839662
all-MiniLM-L6-v2,384,50,0.7673241527777778,0.013347992047144503,0.800063611111111,0.014769491856508247,0.7937751388888888,0.022315101367577004,0.8522686666666667,0.010408771419296307
all-MiniLM-L6-v2,384,75,0.7679112222222223,0.011356200057113576,0.8060583611111112,0.012227940836404539,0.7986435277777778,0.01745309667046711,0.8588201111111111,0.009107924266952927
all-MiniLM-L6-v2,384,100,0.7688085277777778,0.00989802546165144,0.8119482361111112,0.010961311241724052,0.8076874166666667,0.016016695301425136,0.8626317222222223,0.008695694647513436
all-MiniLM-L6-v2,384,150,0.7689114722222221,0.008822201321147718,0.8184563055555556,0.010906687528442881,0.8238067222222222,0.011906997306535244,0.8675663888888888,0.00821648414774947
all-MiniLM-L6-v2,384,200,0.7690529722222221,0.00826271546389897,0.82245475,0.01001074739523067,0.8361138888888888,0.010441960137029133,0.870826611111111,0.007563304547386564
BAAI/bge-base-en-v1.5,768,2,0.7332402222222223,0.04979851903586385,0.7534182361111111,0.057222542566312304,,,0.7127549583333334,0.09334603908978006
BAAI/bge-base-en-v1.5,768,3,0.745296111111111,0.039232802505931794,0.7774539027777777,0.041505795206589514,,,0.7442856805555556,0.07137878014022084
BAAI/bge-base-en-v1.5,768,4,0.750577125,0.034477277701142776,0.7871043194444445,0.03452015002187411,,,0.7624993472222222,0.059734984199922334
