source,dataset,model,pair,n_seeds,auc_diff_mean,auc_diff_std,wins_m1,ties,losses,p_mean,p_max,frac_p_below_0_05,n_valid_p
E2d,ToxicChat,all-mpnet-base-v2,A3_vs_A1,5,-0.03805266108608656,0.013067012347741278,0,0,5,0.024659454520954676,0.1004687259801486,0.8,
E2d,ToxicChat,all-mpnet-base-v2,B1_vs_A1,5,0.03509409979314474,0.0025407801401865692,5,0,0,2.473356719434605e-09,1.0758067325866705e-08,1.0,
E2d,ToxicChat,all-mpnet-base-v2,B1_vs_C1,5,-0.019271366984360182,0.00242648016382517,0,0,5,3.1020652579982774e-08,6.906997196409749e-08,1.0,
E2d,ToxicChat,all-mpnet-base-v2,B1b_vs_A1b,5,0.00035788853016796,0.0015092383470316916,3,0,2,0.31018830310027484,0.8332246145561311,0.2,
E2d,ToxicChat,all-mpnet-base-v2,B1b_vs_B1,5,0.010766137607052358,0.005564140758479791,5,0,0,0.20334050514888444,0.5143318222902349,0.6,
E2d,ToxicChat,all-mpnet-base-v2,B1b_vs_C1b,5,0.00356970247646292,0.0008394594275423364,5,0,0,0.005548304212063751,0.0169694232841928,1.0,
E2d,ToxicChat,bge-base-en-v1.5,A3_vs_A1,5,-0.03316522319098344,0.029836794210825662,0,0,5,0.2980161322522795,0.6478196746278064,0.4,
E2d,ToxicChat,bge-base-en-v1.5,B1_vs_A1,5,0.06749714849111668,0.006520757568387177,5,0,0,1.1579808822936855e-07,5.722522589124424e-07,1.0,
E2d,ToxicChat,bge-base-en-v1.5,B1_vs_C1,5,-0.01947532236549568,0.00354329758904925,0,0,5,1.4198581115287824e-07,6.926641946680689e-07,1.0,
E2d,ToxicChat,bge-base-en-v1.5,B1b_vs_A1b,5,0.0009612968082432802,0.001496569265730126,4,0,1,0.3587509304363842,0.8112044917460706,0.4,
E2d,ToxicChat,bge-base-en-v1.5,B1b_vs_B1,5,0.0051588145455951995,0.010148659201372088,3,0,2,0.2509438994322626,0.6178145313909378,0.0,
E2d,ToxicChat,bge-base-en-v1.5,B1b_vs_C1b,5,0.00348826531598578,0.001151111800006823,5,0,0,0.013689713715266135,0.0672005814747114,0.8,
E2d,ToxicChat,bge-large-en-v1.5,A3_vs_A1,5,-0.02601518549306936,0.019424429537483124,0,0,5,0.3035229343917086,0.7805627989492059,0.4,
E2d,ToxicChat,bge-large-en-v1.5,B1_vs_A1,5,0.07257271347652085,0.004668208833632453,5,0,0,1.2321592635089473e-09,5.541824998900324e-09,1.0,
E2d,ToxicChat,bge-large-en-v1.5,B1_vs_C1,5,-0.01940838440272968,0.0033278548764959556,0,0,5,1.2118261949467524e-08,5.3576400427246547e-08,1.0,
E2d,ToxicChat,bge-large-en-v1.5,B1b_vs_A1b,5,0.0012742378255069203,0.0012019125929868593,5,0,0,0.37755934012611003,0.7964312200989812,0.4,
E2d,ToxicChat,bge-large-en-v1.5,B1b_vs_B1,5,0.004034401763102401,0.003736738182270177,4,0,1,0.5446888125153356,0.8260085747698551,0.0,
E2d,ToxicChat,bge-large-en-v1.5,B1b_vs_C1b,5,0.00224520076555758,0.0007348750807365477,5,0,0,0.019749814302655398,0.0826825678282439,0.8,
E2d,Wild,all-mpnet-base-v2,A3_vs_A1,5,0.022932187499999902,0.012684882402968837,5,0,0,0.12957686141237512,0.2618773768461104,0.4,
E2d,Wild,all-mpnet-base-v2,B1_vs_A1,5,0.08221000000000003,0.0044514347943686375,5,0,0,0.0,0.0,1.0,
