dataset,model,method,source,n_seeds,mean_auc,std_auc,ci95_low,ci95_high,embedder
ToxicChat,Qwen3-Embedding-8B,A1_naive_cosine_raw,E2d/E2q,5,0.8081756142826764,0.005715445402489874,0.8010789514927055,0.8152722770726473,
ToxicChat,Qwen3-Embedding-8B,A1b_cosine_whitened,E2d/E2q,5,0.967701828832138,0.005023801864505816,0.9614639549228722,0.9739397027414037,
ToxicChat,Qwen3-Embedding-8B,A2_rsfi_svd_raw_k20,E2d/E2q,5,0.8650839986854061,0.006932457909200104,0.8564762152804893,0.8736917820903228,
ToxicChat,Qwen3-Embedding-8B,A3_rsfi_svd_whitened_k20,E2d/E2q,5,0.8424346811143117,0.026449225776818675,0.809593629686873,0.8752757325417505,
ToxicChat,Qwen3-Embedding-8B,B1_discriminant_mean_raw,E2d/E2q,5,0.9627696850774257,0.003057821443245589,0.9589728982784121,0.9665664718764392,
ToxicChat,Qwen3-Embedding-8B,B1b_discriminant_mean_whitened,E2d/E2q,5,0.9679207667175749,0.004549308401190508,0.9622720542590907,0.9735694791760591,
ToxicChat,Qwen3-Embedding-8B,C1_logreg_raw,E2d/E2q,5,0.9779839348889363,0.0021845085978680592,0.9752715092091969,0.9806963605686757,
ToxicChat,Qwen3-Embedding-8B,C1b_logreg_whitened,E2d/E2q,5,0.9674679084423996,0.004646973671066011,0.9616979285344361,0.9732378883503631,
ToxicChat,all-mpnet-base-v2,A1_naive_cosine_raw,E2d/E2q,5,0.9157944593732481,0.006040534291050736,0.9082941454141351,0.9232947733323611,
ToxicChat,all-mpnet-base-v2,A1b_cosine_whitened,E2d/E2q,5,0.9612968082432772,0.003444962455491531,0.9570193223871297,0.9655742940994247,
ToxicChat,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,E2d/E2q,5,0.938223751619077,0.007404651247501819,0.9290296627457993,0.9474178404923547,
ToxicChat,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,E2d/E2q,5,0.8777417982871614,0.014240235485720123,0.8600602105585989,0.8954233860157238,
ToxicChat,all-mpnet-base-v2,B1_discriminant_mean_raw,E2d/E2q,5,0.9508885591663928,0.0047657727685291576,0.9449710706960902,0.9568060476366954,
ToxicChat,all-mpnet-base-v2,B1b_discriminant_mean_whitened,E2d/E2q,5,0.9616546967734452,0.002009294727591582,0.959159827848414,0.9641495656984763,
ToxicChat,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,E2d/E2q,5,0.9520489782898679,0.005334889430158056,0.9454248381500429,0.9586731184296929,
ToxicChat,all-mpnet-base-v2,B2b_contrastive_svd_whitened_k20,E2d/E2q,5,0.9222917915208692,0.007173631536302745,0.9133845515058628,0.9311990315358755,
ToxicChat,all-mpnet-base-v2,C1_logreg_raw,E2d/E2q,5,0.970159926150753,0.006135565779223252,0.9625416150140804,0.9777782372874255,
ToxicChat,all-mpnet-base-v2,C1b_logreg_whitened,E2d/E2q,5,0.9580849942969824,0.0014742852433117695,0.9562544273872791,0.9599155612066856,
ToxicChat,bge-base-en-v1.5,A1_naive_cosine_raw,E2d/E2q,5,0.8797673362073966,0.009656637404505668,0.867777037198514,0.8917576352162792,
ToxicChat,bge-base-en-v1.5,A1b_cosine_whitened,E2d/E2q,5,0.9514620024358653,0.006603796733682245,0.9432623057801964,0.9596616990915342,
ToxicChat,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,E2d/E2q,5,0.9125441017263711,0.011365418944245975,0.8984320701987978,0.9266561332539445,
ToxicChat,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,E2d/E2q,5,0.846602113016413,0.026799081107742657,0.8133266588199862,0.8798775672128397,
ToxicChat,bge-base-en-v1.5,B1_discriminant_mean_raw,E2d/E2q,5,0.9472644846985133,0.006389727858734965,0.9393305896580024,0.9551983797390242,
ToxicChat,bge-base-en-v1.5,B1b_discriminant_mean_whitened,E2d/E2q,5,0.9524232992441085,0.006320856592254221,0.9445749191756975,0.9602716793125196,
ToxicChat,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,E2d/E2q,5,0.9489340673149419,0.004164662084052739,0.9437629563404893,0.9541051782893945,
ToxicChat,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,E2d/E2q,5,0.911389603108628,0.018700864946804747,0.8881694123689098,0.9346097938483463,
ToxicChat,bge-base-en-v1.5,C1_logreg_raw,E2d/E2q,5,0.966739807064009,0.0037296786136240736,0.9621087994046015,0.9713708147234165,
ToxicChat,bge-base-en-v1.5,C1b_logreg_whitened,E2d/E2q,5,0.9489350339281227,0.006262298684680722,0.9411593631053559,0.9567107047508896,
ToxicChat,bge-large-en-v1.5,A1_naive_cosine_raw,E2d/E2q,5,0.8789881251570748,0.007112641258065994,0.8701566145747955,0.8878196357393541,
