dataset,model,seed,alpha,auc
ToxicChat,all-mpnet-base-v2,0,0.5,0.09527906122527888
ToxicChat,all-mpnet-base-v2,0,1.0,0.07167195081872137
ToxicChat,all-mpnet-base-v2,0,1.5,0.06290235273648193
ToxicChat,all-mpnet-base-v2,0,3.0,0.054970083322056176
ToxicChat,all-mpnet-base-v2,0,5.0,0.05255596690316469
ToxicChat,all-mpnet-base-v2,0,10.0,0.05106979913778105
ToxicChat,all-mpnet-base-v2,0,30.0,0.05040525257602413
ToxicChat,all-mpnet-base-v2,0,100.0,0.05023005393701549
ToxicChat,all-mpnet-base-v2,1,0.5,0.102464621957585
ToxicChat,all-mpnet-base-v2,1,1.0,0.07385649660718774
ToxicChat,all-mpnet-base-v2,1,1.5,0.06300505538693525
ToxicChat,all-mpnet-base-v2,1,3.0,0.05340296170278578
ToxicChat,all-mpnet-base-v2,1,5.0,0.05030254992557078
ToxicChat,all-mpnet-base-v2,1,10.0,0.04854935526900844
ToxicChat,all-mpnet-base-v2,1,30.0,0.047579117288843356
ToxicChat,all-mpnet-base-v2,1,100.0,0.047347130125466395
ToxicChat,all-mpnet-base-v2,2,0.5,0.0890576971407582
ToxicChat,all-mpnet-base-v2,2,1.0,0.06222451524348986
ToxicChat,all-mpnet-base-v2,2,1.5,0.05306223055657587
ToxicChat,all-mpnet-base-v2,2,3.0,0.04507317261778182
ToxicChat,all-mpnet-base-v2,2,5.0,0.04258776847681095
ToxicChat,all-mpnet-base-v2,2,10.0,0.04097594099793145
ToxicChat,all-mpnet-base-v2,2,30.0,0.04012894619831036
ToxicChat,all-mpnet-base-v2,2,100.0,0.03988487637017418
ToxicChat,all-mpnet-base-v2,3,0.5,0.09891473505132717
ToxicChat,all-mpnet-base-v2,3,1.0,0.07197643397065362
ToxicChat,all-mpnet-base-v2,3,1.5,0.061806455042820965
ToxicChat,all-mpnet-base-v2,3,3.0,0.052430307189668846
ToxicChat,all-mpnet-base-v2,3,5.0,0.04932627061302608
ToxicChat,all-mpnet-base-v2,3,10.0,0.04733142266127941
ToxicChat,all-mpnet-base-v2,3,30.0,0.04628868869255901
ToxicChat,all-mpnet-base-v2,3,100.0,0.04596004021110832
ToxicChat,all-mpnet-base-v2,4,0.5,0.0869154406789491
ToxicChat,all-mpnet-base-v2,4,1.0,0.06141497670462235
ToxicChat,all-mpnet-base-v2,4,1.5,0.052557175169640605
ToxicChat,all-mpnet-base-v2,4,3.0,0.045063506485974444
ToxicChat,all-mpnet-base-v2,4,5.0,0.0428523788350378
ToxicChat,all-mpnet-base-v2,4,10.0,0.04161148916426624
ToxicChat,all-mpnet-base-v2,4,30.0,0.04119584549654919
ToxicChat,all-mpnet-base-v2,4,100.0,0.04104602045353491
ToxicChat,bge-base-en-v1.5,0,0.5,0.10000096661318074
ToxicChat,bge-base-en-v1.5,0,1.0,0.07550336381386896
ToxicChat,bge-base-en-v1.5,0,1.5,0.06781516422757941
ToxicChat,bge-base-en-v1.5,0,3.0,0.06200219421192028
ToxicChat,bge-base-en-v1.5,0,5.0,0.060749221876389495
ToxicChat,bge-base-en-v1.5,0,10.0,0.06022604249231542
ToxicChat,bge-base-en-v1.5,0,30.0,0.06013783903957314
ToxicChat,bge-base-en-v1.5,0,100.0,0.060194627563941464
ToxicChat,bge-base-en-v1.5,1,0.5,0.08776364374504611
ToxicChat,bge-base-en-v1.5,1,1.0,0.06404174802327606
ToxicChat,bge-base-en-v1.5,1,1.5,0.05799195777833626
ToxicChat,bge-base-en-v1.5,1,3.0,0.05496887505558026
ToxicChat,bge-base-en-v1.5,1,5.0,0.05521173661724052
ToxicChat,bge-base-en-v1.5,1,10.0,0.05629917644557002
ToxicChat,bge-base-en-v1.5,1,30.0,0.05724404082974076
ToxicChat,bge-base-en-v1.5,1,100.0,0.0576476018326986
ToxicChat,bge-base-en-v1.5,2,0.5,0.07693757612078798
ToxicChat,bge-base-en-v1.5,2,1.0,0.05413879598662208
ToxicChat,bge-base-en-v1.5,2,1.5,0.04798992789065671
ToxicChat,bge-base-en-v1.5,2,3.0,0.04408722717342974
ToxicChat,bge-base-en-v1.5,2,5.0,0.04349517660022812
ToxicChat,bge-base-en-v1.5,2,10.0,0.043512092330891025
ToxicChat,bge-base-en-v1.5,2,30.0,0.04393740213041546
ToxicChat,bge-base-en-v1.5,2,100.0,0.04415730662903319
ToxicChat,bge-base-en-v1.5,3,0.5,0.09789858294507703
ToxicChat,bge-base-en-v1.5,3,1.0,0.07033077503044832
ToxicChat,bge-base-en-v1.5,3,1.5,0.06175933265026001
ToxicChat,bge-base-en-v1.5,3,3.0,0.055502928837937636
ToxicChat,bge-base-en-v1.5,3,5.0,0.05402401067140952
ToxicChat,bge-base-en-v1.5,3,10.0,0.05352862141628164
ToxicChat,bge-base-en-v1.5,3,30.0,0.053611991803120235
ToxicChat,bge-base-en-v1.5,3,100.0,0.053620449668451683
ToxicChat,bge-base-en-v1.5,4,0.5,0.0853036132000696
ToxicChat,bge-base-en-v1.5,4,1.0,0.06099933303690529
ToxicChat,bge-base-en-v1.5,4,1.5,0.05442636340789143
ToxicChat,bge-base-en-v1.5,4,3.0,0.050828145842596706
ToxicChat,bge-base-en-v1.5,4,5.0,0.05060582481102713
ToxicChat,bge-base-en-v1.5,4,10.0,0.05110483886558277
ToxicChat,bge-base-en-v1.5,4,30.0,0.05170534730411584
ToxicChat,bge-base-en-v1.5,4,100.0,0.052041245384422063
ToxicChat,bge-large-en-v1.5,0,0.5,0.10025953563902798
ToxicChat,bge-large-en-v1.5,0,1.0,0.07415856322616815
ToxicChat,bge-large-en-v1.5,0,1.5,0.06502165213524852
ToxicChat,bge-large-en-v1.5,0,3.0,0.05765485143155413
ToxicChat,bge-large-en-v1.5,0,5.0,0.05542076671757496
ToxicChat,bge-large-en-v1.5,0,10.0,0.05436957488352311
ToxicChat,bge-large-en-v1.5,0,30.0,0.05394909814990237
ToxicChat,bge-large-en-v1.5,0,100.0,0.053828271502310204
ToxicChat,bge-large-en-v1.5,1,0.5,0.09210252866008081
ToxicChat,bge-large-en-v1.5,1,1.0,0.06448759835289114
ToxicChat,bge-large-en-v1.5,1,1.5,0.05546426431070814
ToxicChat,bge-large-en-v1.5,1,3.0,0.049448305527094165
ToxicChat,bge-large-en-v1.5,1,5.0,0.04867259844955246
ToxicChat,bge-large-en-v1.5,1,10.0,0.048933584008351544
ToxicChat,bge-large-en-v1.5,1,30.0,0.04956671564173448
ToxicChat,bge-large-en-v1.5,1,100.0,0.04988086492547412
ToxicChat,bge-large-en-v1.5,2,0.5,0.0804137587720146
ToxicChat,bge-large-en-v1.5,2,1.0,0.055535552032787525
ToxicChat,bge-large-en-v1.5,2,1.5,0.04770115220291144
ToxicChat,bge-large-en-v1.5,2,3.0,0.042011425367796326
ToxicChat,bge-large-en-v1.5,2,5.0,0.04072945463684343
ToxicChat,bge-large-en-v1.5,2,10.0,0.04041651361957972
ToxicChat,bge-large-en-v1.5,2,30.0,0.04064729251648076
ToxicChat,bge-large-en-v1.5,2,100.0,0.0406666247800955
ToxicChat,bge-large-en-v1.5,3,0.5,0.10072713476520964
ToxicChat,bge-large-en-v1.5,3,1.0,0.07137713379859648
ToxicChat,bge-large-en-v1.5,3,1.5,0.060889380787596425
ToxicChat,bge-large-en-v1.5,3,3.0,0.05269129274846791
ToxicChat,bge-large-en-v1.5,3,5.0,0.05044029230382586
ToxicChat,bge-large-en-v1.5,3,10.0,0.049374601272062946
ToxicChat,bge-large-en-v1.5,3,30.0,0.0490822007848899
ToxicChat,bge-large-en-v1.5,3,100.0,0.04908824211726952
ToxicChat,bge-large-en-v1.5,4,0.5,0.09039645639607942
ToxicChat,bge-large-en-v1.5,4,1.0,0.06534909235022329
ToxicChat,bge-large-en-v1.5,4,1.5,0.05676194250584801
ToxicChat,bge-large-en-v1.5,4,3.0,0.05068194559901019
ToxicChat,bge-large-en-v1.5,4,5.0,0.049541342045740136
ToxicChat,bge-large-en-v1.5,4,10.0,0.049306938349411335
ToxicChat,bge-large-en-v1.5,4,30.0,0.04965250256152493
ToxicChat,bge-large-en-v1.5,4,100.0,0.04979386973920777
Wild,all-mpnet-base-v2,0,0.5,0.20734687499999999
Wild,all-mpnet-base-v2,0,1.0,0.16360000000000002
Wild,all-mpnet-base-v2,0,1.5,0.1488171875
Wild,all-mpnet-base-v2,0,3.0,0.13626093749999998
Wild,all-mpnet-base-v2,0,5.0,0.13232500000000003
Wild,all-mpnet-base-v2,0,10.0,0.1301171875
Wild,all-mpnet-base-v2,0,30.0,0.1289703125
Wild,all-mpnet-base-v2,0,100.0,0.1286296875
Wild,all-mpnet-base-v2,1,0.5,0.20993515625
Wild,all-mpnet-base-v2,1,1.0,0.16418046875
Wild,all-mpnet-base-v2,1,1.5,0.14880234375
Wild,all-mpnet-base-v2,1,3.0,0.13595859375
Wild,all-mpnet-base-v2,1,5.0,0.13200390625
Wild,all-mpnet-base-v2,1,10.0,0.12995234375
Wild,all-mpnet-base-v2,1,30.0,0.12866015625000002
Wild,all-mpnet-base-v2,1,100.0,0.12832109375
Wild,all-mpnet-base-v2,2,0.5,0.21780624999999998
Wild,all-mpnet-base-v2,2,1.0,0.17149531249999997
Wild,all-mpnet-base-v2,2,1.5,0.1553921875
Wild,all-mpnet-base-v2,2,3.0,0.1424578125
Wild,all-mpnet-base-v2,2,5.0,0.138546875
Wild,all-mpnet-base-v2,2,10.0,0.1362703125
Wild,all-mpnet-base-v2,2,30.0,0.13515937499999997
Wild,all-mpnet-base-v2,2,100.0,0.1347765625
Wild,all-mpnet-base-v2,3,0.5,0.22473671875
Wild,all-mpnet-base-v2,3,1.0,0.18075078125
Wild,all-mpnet-base-v2,3,1.5,0.16466953125
Wild,all-mpnet-base-v2,3,3.0,0.15101640624999998
Wild,all-mpnet-base-v2,3,5.0,0.14636640625
Wild,all-mpnet-base-v2,3,10.0,0.14399609375
Wild,all-mpnet-base-v2,3,30.0,0.14251953125
Wild,all-mpnet-base-v2,3,100.0,0.14192734375
Wild,all-mpnet-base-v2,4,0.5,0.20840234375
Wild,all-mpnet-base-v2,4,1.0,0.16408828125
Wild,all-mpnet-base-v2,4,1.5,0.14862578124999998
Wild,all-mpnet-base-v2,4,3.0,0.13521796875
Wild,all-mpnet-base-v2,4,5.0,0.13108359375
Wild,all-mpnet-base-v2,4,10.0,0.12859140624999998
Wild,all-mpnet-base-v2,4,30.0,0.12709296874999998
Wild,all-mpnet-base-v2,4,100.0,0.12662265624999997
Wild,bge-base-en-v1.5,0,0.5,0.1932046875
Wild,bge-base-en-v1.5,0,1.0,0.1569421875
Wild,bge-base-en-v1.5,0,1.5,0.14539531249999998
Wild,bge-base-en-v1.5,0,3.0,0.135528125
Wild,bge-base-en-v1.5,0,5.0,0.13335625
Wild,bge-base-en-v1.5,0,10.0,0.1322765625
Wild,bge-base-en-v1.5,0,30.0,0.1316671875
Wild,bge-base-en-v1.5,0,100.0,0.13141406249999998
Wild,bge-base-en-v1.5,1,0.5,0.1889046875
Wild,bge-base-en-v1.5,1,1.0,0.156496875
Wild,bge-base-en-v1.5,1,1.5,0.14655625
Wild,bge-base-en-v1.5,1,3.0,0.1395484375
Wild,bge-base-en-v1.5,1,5.0,0.13813593749999997
Wild,bge-base-en-v1.5,1,10.0,0.1378171875
Wild,bge-base-en-v1.5,1,30.0,0.138028125
Wild,bge-base-en-v1.5,1,100.0,0.13819218749999998
Wild,bge-base-en-v1.5,2,0.5,0.18948046875
Wild,bge-base-en-v1.5,2,1.0,0.15661484375
Wild,bge-base-en-v1.5,2,1.5,0.14690859374999998
Wild,bge-base-en-v1.5,2,3.0,0.14031640624999997
Wild,bge-base-en-v1.5,2,5.0,0.13928515625
Wild,bge-base-en-v1.5,2,10.0,0.13940546874999998
Wild,bge-base-en-v1.5,2,30.0,0.13991796875
Wild,bge-base-en-v1.5,2,100.0,0.14020234374999999
Wild,bge-base-en-v1.5,3,0.5,0.19977499999999998
Wild,bge-base-en-v1.5,3,1.0,0.1671171875
Wild,bge-base-en-v1.5,3,1.5,0.1565890625
Wild,bge-base-en-v1.5,3,3.0,0.148140625
Wild,bge-base-en-v1.5,3,5.0,0.146428125
Wild,bge-base-en-v1.5,3,10.0,0.14588125
Wild,bge-base-en-v1.5,3,30.0,0.1457609375
Wild,bge-base-en-v1.5,3,100.0,0.145734375
Wild,bge-base-en-v1.5,4,0.5,0.18371796875
Wild,bge-base-en-v1.5,4,1.0,0.15255234374999999
Wild,bge-base-en-v1.5,4,1.5,0.14309140625
Wild,bge-base-en-v1.5,4,3.0,0.13676640625
Wild,bge-base-en-v1.5,4,5.0,0.13564453125
Wild,bge-base-en-v1.5,4,10.0,0.13570234375
Wild,bge-base-en-v1.5,4,30.0,0.13617265625
Wild,bge-base-en-v1.5,4,100.0,0.13627421875
Wild,bge-large-en-v1.5,0,0.5,0.19719843750000002
Wild,bge-large-en-v1.5,0,1.0,0.1565421875
Wild,bge-large-en-v1.5,0,1.5,0.14201249999999999
Wild,bge-large-en-v1.5,0,3.0,0.128946875
Wild,bge-large-en-v1.5,0,5.0,0.1247046875
Wild,bge-large-en-v1.5,0,10.0,0.12234531250000001
Wild,bge-large-en-v1.5,0,30.0,0.12115781249999999
Wild,bge-large-en-v1.5,0,100.0,0.12079687499999998
Wild,bge-large-en-v1.5,1,0.5,0.18965312500000003
Wild,bge-large-en-v1.5,1,1.0,0.153940625
Wild,bge-large-en-v1.5,1,1.5,0.14203906249999998
