dataset,model,seed,tau,tpr_at_fpr_01,fpr_at_fpr_01,auc_rsfi
ToxicChat,all-mpnet-base-v2,0,0.9873265883765209,0.0,0.05046687416629613,0.05492537746244708
ToxicChat,all-mpnet-base-v2,1,0.9280231601258104,0.0,0.0773677189862161,0.05323501266263267
ToxicChat,all-mpnet-base-v2,2,0.9703644287719161,0.0,0.035126722987994664,0.04485930945154368
ToxicChat,all-mpnet-base-v2,3,1.018882510622752,0.0,0.019341929746554024,0.052268399481895336
ToxicChat,all-mpnet-base-v2,4,0.949113184335743,0.0,0.06336149399733215,0.04497651129970808
ToxicChat,bge-base-en-v1.5,0,0.6809287589739836,0.0,0.042907959092930194,0.06197198755002223
ToxicChat,bge-base-en-v1.5,1,0.6565755448277468,0.0,0.04157403290351267,0.054977332920911705
ToxicChat,bge-base-en-v1.5,2,0.67578603205005,0.0,0.018674966651845263,0.044057020511531694
ToxicChat,bge-base-en-v1.5,3,0.6454683600418335,0.0,0.05113383726100489,0.055479971774895116
ToxicChat,bge-base-en-v1.5,4,0.6502422590757795,0.0,0.058915073365940415,0.05085714423801883
ToxicChat,bge-large-en-v1.5,0,0.6845493050922817,0.0,0.042907959092930194,0.05757027277823961
ToxicChat,bge-large-en-v1.5,1,0.6663644884097556,0.0,0.04046242774566474,0.04936372687377965
ToxicChat,bge-large-en-v1.5,2,0.6536788421971949,0.0,0.04579813250333482,0.04193651284628917
ToxicChat,bge-large-en-v1.5,3,0.61299002272312,0.0,0.11027123165851489,0.05259463143039418
ToxicChat,bge-large-en-v1.5,4,0.6766102998017196,0.0,0.0377945753668297,0.05063965627235292
Wild,all-mpnet-base-v2,0,1.046360127931388,0.0,0.0225,0.136121875
Wild,all-mpnet-base-v2,1,1.0154799633643727,0.0,0.0475,0.13578359375000001
Wild,all-mpnet-base-v2,2,1.0371571987752577,0.0,0.0175,0.1421078125
Wild,all-mpnet-base-v2,3,0.9929067947620039,0.0,0.0375,0.15088671874999998
Wild,all-mpnet-base-v2,4,1.042738010042028,0.0,0.04375,0.13504296875
Wild,bge-base-en-v1.5,0,0.7103853050452938,0.00125,0.0275,0.13544374999999997
Wild,bge-base-en-v1.5,1,0.760128738781122,0.0,0.00875,0.1394578125
Wild,bge-base-en-v1.5,2,0.7129519720705833,0.00125,0.01375,0.14032578125
Wild,bge-base-en-v1.5,3,0.7002681216911903,0.00125,0.02,0.148146875
Wild,bge-base-en-v1.5,4,0.7536631273201443,0.00125,0.0125,0.13681015624999998
Wild,bge-large-en-v1.5,0,0.7121419824133816,0.0,0.02625,0.12880468750000001
Wild,bge-large-en-v1.5,1,0.7786898901439864,0.0,0.0025,0.133075
Wild,bge-large-en-v1.5,2,0.6832089403224508,0.0,0.025,0.13123593749999998
Wild,bge-large-en-v1.5,3,0.6851907845140736,0.0,0.02875,0.13905937499999999
Wild,bge-large-en-v1.5,4,0.6994728666364652,0.0,0.0425,0.1271625
XSTest,all-mpnet-base-v2,0,0.9702310356144557,0.0,0.011976047904191617,0.18598623648225934
XSTest,all-mpnet-base-v2,1,0.8916518971732222,0.029850746268656716,0.10778443113772455,0.2441236929126821
XSTest,all-mpnet-base-v2,2,1.0113894022807146,0.0,0.023952095808383235,0.22781303065510766
XSTest,all-mpnet-base-v2,3,0.9466879417421554,0.0,0.059880239520958084,0.22495307891679328
XSTest,all-mpnet-base-v2,4,0.8700217399527161,0.04477611940298507,0.10778443113772455,0.20962552506926446
XSTest,bge-base-en-v1.5,0,0.7242707729690349,0.0,0.029940119760479042,0.18830994726963984
XSTest,bge-base-en-v1.5,1,0.7287027350459404,0.0,0.059880239520958084,0.262758065957637
XSTest,bge-base-en-v1.5,2,0.722375667771839,0.0,0.04790419161676647,0.21708821163642864
XSTest,bge-base-en-v1.5,3,0.7161514053393983,0.007462686567164179,0.0658682634730539,0.22437215121994813
XSTest,bge-base-en-v1.5,4,0.6136710402101733,0.029850746268656716,0.16167664670658682,0.21543480203771562
XSTest,bge-large-en-v1.5,0,0.6380792210405993,0.014925373134328358,0.11976047904191617,0.18683528465457144
XSTest,bge-large-en-v1.5,1,0.7237212017592403,0.007462686567164179,0.04790419161676647,0.25694878898918583
XSTest,bge-large-en-v1.5,2,0.6760729826674572,0.007462686567164179,0.09580838323353294,0.22441683796585932
XSTest,bge-large-en-v1.5,3,0.7196475842121045,0.007462686567164179,0.0718562874251497,0.2219590669407454
XSTest,bge-large-en-v1.5,4,0.6135901331461785,0.03731343283582089,0.20958083832335328,0.20162659755116633
