dataset,model,seed,method,roc_auc,n_test
ToxicChat,all-mpnet-base-v2,0,RSFI_multi_k20,0.05770318209059099,4682
ToxicChat,all-mpnet-base-v2,1,RSFI_multi_k20,0.05138757322094844,4682
ToxicChat,all-mpnet-base-v2,2,RSFI_multi_k20,0.04218299920737719,4682
ToxicChat,all-mpnet-base-v2,3,RSFI_multi_k20,0.05079793918069867,4682
ToxicChat,all-mpnet-base-v2,4,RSFI_multi_k20,0.043986941055928236,4682
ToxicChat,bge-base-en-v1.5,0,RSFI_multi_k20,0.05796658418234191,4682
ToxicChat,bge-base-en-v1.5,1,RSFI_multi_k20,0.055643087749144546,4682
ToxicChat,bge-base-en-v1.5,2,RSFI_multi_k20,0.045236288592031236,4682
ToxicChat,bge-base-en-v1.5,3,RSFI_multi_k20,0.051832215284087615,4682
ToxicChat,bge-base-en-v1.5,4,RSFI_multi_k20,0.04556493707348193,4682
ToxicChat,bge-large-en-v1.5,0,RSFI_multi_k20,0.0502143464728285,4682
ToxicChat,bge-large-en-v1.5,1,RSFI_multi_k20,0.05196270806348714,4682
ToxicChat,bge-large-en-v1.5,2,RSFI_multi_k20,0.039395528447425915,4682
ToxicChat,bge-large-en-v1.5,3,RSFI_multi_k20,0.04967062655866375,4682
ToxicChat,bge-large-en-v1.5,4,RSFI_multi_k20,0.04040926402072419,4682
Wild,all-mpnet-base-v2,0,RSFI_multi_k20,0.17944375,1600
Wild,all-mpnet-base-v2,1,RSFI_multi_k20,0.17322734374999998,1600
Wild,all-mpnet-base-v2,2,RSFI_multi_k20,0.1660140625,1600
Wild,all-mpnet-base-v2,3,RSFI_multi_k20,0.19519921875,1600
Wild,all-mpnet-base-v2,4,RSFI_multi_k20,0.17470703125,1600
Wild,bge-base-en-v1.5,0,RSFI_multi_k20,0.17533906249999998,1600
Wild,bge-base-en-v1.5,1,RSFI_multi_k20,0.16532187499999998,1600
Wild,bge-base-en-v1.5,2,RSFI_multi_k20,0.17944609375,1600
Wild,bge-base-en-v1.5,3,RSFI_multi_k20,0.19188828125000001,1600
Wild,bge-base-en-v1.5,4,RSFI_multi_k20,0.18831015624999997,1600
Wild,bge-large-en-v1.5,0,RSFI_multi_k20,0.18144375000000001,1600
Wild,bge-large-en-v1.5,1,RSFI_multi_k20,0.16325625,1600
Wild,bge-large-en-v1.5,2,RSFI_multi_k20,0.1698046875,1600
Wild,bge-large-en-v1.5,3,RSFI_multi_k20,0.18171171875,1600
Wild,bge-large-en-v1.5,4,RSFI_multi_k20,0.18511875,1600
XSTest,all-mpnet-base-v2,0,RSFI_multi_k20,0.13799267137367055,301
XSTest,all-mpnet-base-v2,1,RSFI_multi_k20,0.1955492001072482,301
XSTest,all-mpnet-base-v2,2,RSFI_multi_k20,0.1566717311645366,301
XSTest,all-mpnet-base-v2,3,RSFI_multi_k20,0.1233354187148092,301
XSTest,all-mpnet-base-v2,4,RSFI_multi_k20,0.18889087496648493,301
XSTest,bge-base-en-v1.5,0,RSFI_multi_k20,0.19259987487711144,301
XSTest,bge-base-en-v1.5,1,RSFI_multi_k20,0.24524086156046115,301
XSTest,bge-base-en-v1.5,2,RSFI_multi_k20,0.21695415139869514,301
XSTest,bge-base-en-v1.5,3,RSFI_multi_k20,0.19425328447582446,301
XSTest,bge-base-en-v1.5,4,RSFI_multi_k20,0.2646349092859058,301
XSTest,bge-large-en-v1.5,0,RSFI_multi_k20,0.17570828492269194,301
XSTest,bge-large-en-v1.5,1,RSFI_multi_k20,0.24390025918312624,301
XSTest,bge-large-en-v1.5,2,RSFI_multi_k20,0.20725712753597283,301
XSTest,bge-large-en-v1.5,3,RSFI_multi_k20,0.1728930199302887,301
XSTest,bge-large-en-v1.5,4,RSFI_multi_k20,0.22513182590043793,301
