dataset,seed,n_test,model,pair,method_1,method_2,auc_1,auc_2,auc_diff,p_value
AdvBench,0,520,all-mpnet-base-v2,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,0.99890625,0.99875,0.00015624999999996891,0.34406848049415517
AdvBench,0,520,all-mpnet-base-v2,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,0.9974999999999999,0.993515625,0.003984374999999929,0.004195568737593858
AdvBench,0,520,all-mpnet-base-v2,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,0.9974999999999999,0.9979375,-0.0004375000000000906,0.3800175356055
AdvBench,0,520,all-mpnet-base-v2,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.9790000000000001,0.993515625,-0.014515624999999921,0.004303526097011234
AdvBench,0,520,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,0.99890625,0.9974999999999999,0.0014062500000000533,0.10443700255121136
AdvBench,0,520,all-mpnet-base-v2,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,0.99890625,0.99890625,0.0,1.0
AdvBench,0,520,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,0.998875,0.99890625,-3.125000000003819e-05,0.8516933831744791
AdvBench,0,520,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,0.99890625,0.9974999999999999,0.0014062500000000533,0.10443700255121136
AdvBench,0,520,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,0.998875,0.9974999999999999,0.001375000000000015,0.10960008336744109
AdvBench,1,520,all-mpnet-base-v2,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,0.998109375,0.9979375,0.0001718749999999325,0.4643264521394208
AdvBench,1,520,all-mpnet-base-v2,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,0.9980781249999999,0.99390625,0.004171874999999936,0.0025347311414818385
AdvBench,1,520,all-mpnet-base-v2,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,0.9980781249999999,0.9987343750000001,-0.0006562500000001359,0.06433495747513307
AdvBench,1,520,all-mpnet-base-v2,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.9572343750000001,0.99390625,-0.03667187499999991,2.863456847190804e-06
AdvBench,1,520,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,0.998109375,0.9980781249999999,3.125000000003819e-05,0.9623428689947793
AdvBench,1,520,all-mpnet-base-v2,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,0.998109375,0.99790625,0.0002031249999999707,0.38235730470497087
AdvBench,1,520,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,0.99865625,0.998109375,0.0005468750000000577,0.09653535570020955
AdvBench,1,520,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,0.998109375,0.9980781249999999,3.125000000003819e-05,0.9623428689947793
AdvBench,1,520,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,0.99865625,0.9980781249999999,0.0005781250000000959,0.34203064673556405
AdvBench,2,520,all-mpnet-base-v2,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,0.99828125,0.998,0.00028125000000001066,0.24146836562957041
AdvBench,2,520,all-mpnet-base-v2,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,0.9973124999999999,0.993046875,0.00426562499999994,0.0033577848917965003
AdvBench,2,520,all-mpnet-base-v2,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,0.9973124999999999,0.9983593749999999,-0.0010468750000000027,0.04350398247767884
AdvBench,2,520,all-mpnet-base-v2,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.9821718749999999,0.993046875,-0.010875000000000079,0.006842085220469141
AdvBench,2,520,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,0.99828125,0.9973124999999999,0.0009687500000000737,0.13574696461307267
AdvBench,2,520,all-mpnet-base-v2,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,0.99828125,0.9983593749999999,-7.812499999992895e-05,0.6538329728628991
AdvBench,2,520,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,0.9984218749999999,0.99828125,0.0001406249999998943,0.5138073892415478
AdvBench,2,520,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,0.99828125,0.9973124999999999,0.0009687500000000737,0.13574696461307267
AdvBench,2,520,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,0.9984218749999999,0.9973124999999999,0.001109374999999968,0.06501323466561737
AdvBench,3,520,all-mpnet-base-v2,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,0.999234375,0.999359375,-0.00012500000000004174,0.3515333198375665
AdvBench,3,520,all-mpnet-base-v2,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,0.998046875,0.995578125,0.0024687500000000195,0.022186757917475042
AdvBench,3,520,all-mpnet-base-v2,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,0.998046875,0.9992343750000001,-0.001187500000000119,0.03113349686452538
AdvBench,3,520,all-mpnet-base-v2,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.980328125,0.995578125,-0.015249999999999986,0.0009115249216331556
AdvBench,3,520,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,0.999234375,0.998046875,0.001187500000000008,0.13152335233416146
AdvBench,3,520,all-mpnet-base-v2,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,0.999234375,0.999265625,-3.125000000003819e-05,0.8113817450175513
AdvBench,3,520,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,0.9995,0.999234375,0.0002656250000000471,0.148113148798519
AdvBench,3,520,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,0.999234375,0.998046875,0.001187500000000008,0.13152335233416146
AdvBench,3,520,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,0.9995,0.998046875,0.001453125000000055,0.05899913726080319
AdvBench,4,520,all-mpnet-base-v2,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,0.997671875,0.9976875000000001,-1.5625000000074607e-05,0.9100062951154249
AdvBench,4,520,all-mpnet-base-v2,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,0.997921875,0.99446875,0.003453124999999946,0.008336678100248962
AdvBench,4,520,all-mpnet-base-v2,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,0.997921875,0.998625,-0.0007031250000000266,0.04024383572597401
AdvBench,4,520,all-mpnet-base-v2,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.98284375,0.99446875,-0.011624999999999996,0.0029982136058805953
AdvBench,4,520,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,0.997671875,0.997921875,-0.00024999999999997247,0.7178538994144765
AdvBench,4,520,all-mpnet-base-v2,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,0.997671875,0.997578125,9.375000000000355e-05,0.5602093080103254
AdvBench,4,520,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,0.99825,0.997671875,0.0005781249999999849,0.13054930927758646
AdvBench,4,520,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,0.997671875,0.997921875,-0.00024999999999997247,0.7178538994144765
AdvBench,4,520,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,0.99825,0.997921875,0.00032812500000001243,0.4637827578215721
AdvBench,0,520,bge-base-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,0.999828125,0.999734375,9.375000000000355e-05,0.21878228159221935
AdvBench,0,520,bge-base-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,0.9978281250000001,0.9915625,0.006265625000000052,0.004549672858720433
AdvBench,0,520,bge-base-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,0.9978281250000001,0.999171875,-0.001343749999999977,0.026667306141848535
AdvBench,0,520,bge-base-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.96775,0.9915625,-0.023812500000000014,0.00010275190884945218
AdvBench,0,520,bge-base-en-v1.5,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,0.999828125,0.9978281250000001,0.0019999999999998908,0.04239292068949774
AdvBench,0,520,bge-base-en-v1.5,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,0.999828125,0.999765625,6.249999999996536e-05,0.37055238778510446
AdvBench,0,520,bge-base-en-v1.5,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,0.99984375,0.999828125,1.5625000000074607e-05,0.7241093382970467
AdvBench,0,520,bge-base-en-v1.5,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,0.999828125,0.9978281250000001,0.0019999999999998908,0.04239292068949774
AdvBench,0,520,bge-base-en-v1.5,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,0.99984375,0.9978281250000001,0.0020156249999999654,0.0395838815609697
AdvBench,1,520,bge-base-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,0.999734375,0.99990625,-0.00017187500000004352,0.12427708542449079
AdvBench,1,520,bge-base-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,0.9968281250000001,0.9877343749999999,0.009093750000000123,0.001116174590001462
AdvBench,1,520,bge-base-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,0.9968281250000001,0.999,-0.0021718749999999343,0.006020510335358109
AdvBench,1,520,bge-base-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.943109375,0.9877343749999999,-0.044624999999999915,2.407877601751096e-07
