dataset,seed,n_test,model,pair,method_1,method_2,auc_1,auc_2,auc_diff,p_value
AdvBench,0,520,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,0.99890625,0.9974999999999999,0.0014062500000000533,0.10443700255121136
AdvBench,0,520,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,0.998875,0.99890625,-3.125000000003819e-05,0.8516933831744791
AdvBench,0,520,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,0.99890625,0.9974999999999999,0.0014062500000000533,0.10443700255121136
AdvBench,0,520,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,0.998875,0.9974999999999999,0.001375000000000015,0.10960008336744109
AdvBench,1,520,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,0.998109375,0.9980781249999999,3.125000000003819e-05,0.9623428689947793
AdvBench,1,520,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,0.99865625,0.998109375,0.0005468750000000577,0.09653535570020955
AdvBench,1,520,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,0.998109375,0.9980781249999999,3.125000000003819e-05,0.9623428689947793
AdvBench,1,520,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,0.99865625,0.9980781249999999,0.0005781250000000959,0.34203064673556405
AdvBench,2,520,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,0.99828125,0.9973124999999999,0.0009687500000000737,0.13574696461307267
AdvBench,2,520,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,0.9984218749999999,0.99828125,0.0001406249999998943,0.5138073892415478
AdvBench,2,520,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,0.99828125,0.9973124999999999,0.0009687500000000737,0.13574696461307267
AdvBench,2,520,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,0.9984218749999999,0.9973124999999999,0.001109374999999968,0.06501323466561737
AdvBench,3,520,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,0.999234375,0.998046875,0.001187500000000008,0.13152335233416146
