dataset,seed,n_test,model,method,roc_auc,pr_auc
AdvBench,0,520,all-mpnet-base-v2,A1_naive_cosine_raw,0.993515625,0.9961805194635504
AdvBench,0,520,all-mpnet-base-v2,A1b_cosine_whitened,0.99890625,0.9993022998879716
AdvBench,0,520,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,0.997359375,0.9983704664240927
AdvBench,0,520,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,0.9790000000000001,0.9881676110084734
AdvBench,0,520,all-mpnet-base-v2,B1_discriminant_mean_raw,0.9974999999999999,0.9985432663817656
AdvBench,0,520,all-mpnet-base-v2,B1b_discriminant_mean_whitened,0.99890625,0.9993024250644055
AdvBench,0,520,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,0.998703125,0.9991916838336163
AdvBench,0,520,all-mpnet-base-v2,B2b_contrastive_svd_whitened_k20,0.990765625,0.9945661319400603
AdvBench,0,520,all-mpnet-base-v2,C1_logreg_raw,0.9979375,0.9987220171035054
AdvBench,0,520,all-mpnet-base-v2,C1b_logreg_whitened,0.99875,0.9991915186182261
AdvBench,0,520,all-mpnet-base-v2,B1_raw,0.9974999999999999,0.9985432663817656
AdvBench,0,520,all-mpnet-base-v2,B1b_SigmaT_wh,0.99890625,0.9993024250644055
AdvBench,0,520,all-mpnet-base-v2,B1w_SigmaW_wh,0.998875,0.9992740463331751
AdvBench,1,520,all-mpnet-base-v2,A1_naive_cosine_raw,0.99390625,0.9963790073507495
AdvBench,1,520,all-mpnet-base-v2,A1b_cosine_whitened,0.99790625,0.998748272563003
AdvBench,1,520,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,0.998046875,0.998778395027497
AdvBench,1,520,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,0.9572343750000001,0.9755149603498614
AdvBench,1,520,all-mpnet-base-v2,B1_discriminant_mean_raw,0.9980781249999999,0.9988718833622727
AdvBench,1,520,all-mpnet-base-v2,B1b_discriminant_mean_whitened,0.998109375,0.9988432779990787
AdvBench,1,520,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,0.999140625,0.9994697888544435
