dataset,seed,n_test,model,cos_mu_mal_safe,mal_homog,safe_homog
AdvBench,0,520,all-mpnet-base-v2,0.5051913857460022,0.34240248799324036,0.12142279744148254
AdvBench,1,520,all-mpnet-base-v2,0.5066732168197632,0.34134694933891296,0.11251744627952576
AdvBench,2,520,all-mpnet-base-v2,0.5054618120193481,0.33817967772483826,0.12066508084535599
AdvBench,3,520,all-mpnet-base-v2,0.5111321210861206,0.3351955711841583,0.12305085361003876
AdvBench,4,520,all-mpnet-base-v2,0.5210845470428467,0.3271605670452118,0.12182542681694031
AdvBench,0,520,bge-base-en-v1.5,0.860966682434082,0.608831524848938,0.4689640998840332
AdvBench,1,520,bge-base-en-v1.5,0.8622844815254211,0.6114493608474731,0.46528711915016174
AdvBench,2,520,bge-base-en-v1.5,0.8675625324249268,0.604209303855896,0.46465834975242615
AdvBench,3,520,bge-base-en-v1.5,0.8600904941558838,0.6039884090423584,0.46623659133911133
AdvBench,4,520,bge-base-en-v1.5,0.8645128607749939,0.6020576357841492,0.46836918592453003
AdvBench,0,520,bge-large-en-v1.5,0.8576191067695618,0.6289024949073792,0.4614516496658325
AdvBench,1,520,bge-large-en-v1.5,0.8589187264442444,0.6296914219856262,0.4603930711746216
AdvBench,2,520,bge-large-en-v1.5,0.8637925386428833,0.6257197856903076,0.46125805377960205
AdvBench,3,520,bge-large-en-v1.5,0.8590495586395264,0.6259819865226746,0.4628083407878876
AdvBench,4,520,bge-large-en-v1.5,0.8640275001525879,0.6222323179244995,0.4624313414096832
AdvBench,0,520,Qwen3-Embedding-8B,0.6588103771209717,0.5115125179290771,0.2530509829521179
AdvBench,1,520,Qwen3-Embedding-8B,0.6618020534515381,0.5075528621673584,0.2554067075252533
AdvBench,2,520,Qwen3-Embedding-8B,0.6627140045166016,0.5148703455924988,0.2550645172595978
AdvBench,3,520,Qwen3-Embedding-8B,0.6722075939178467,0.5132135152816772,0.25564196705818176
AdvBench,4,520,Qwen3-Embedding-8B,0.6765787601470947,0.5102846622467041,0.2531478703022003
HarmBench,0,400,all-mpnet-base-v2,0.5652211904525757,0.19350425899028778,0.11852623522281647
HarmBench,1,400,all-mpnet-base-v2,0.5518702268600464,0.19492347538471222,0.12038315087556839
HarmBench,2,400,all-mpnet-base-v2,0.5607122182846069,0.19526155292987823,0.1209242045879364
HarmBench,3,400,all-mpnet-base-v2,0.5573501586914062,0.19429658353328705,0.12118115276098251
HarmBench,4,400,all-mpnet-base-v2,0.5423675179481506,0.19396016001701355,0.11936908960342407
HarmBench,0,400,bge-base-en-v1.5,0.9248221516609192,0.5197324752807617,0.460170716047287
HarmBench,1,400,bge-base-en-v1.5,0.9184524416923523,0.5217838883399963,0.45994848012924194
HarmBench,2,400,bge-base-en-v1.5,0.9224942922592163,0.5235782265663147,0.45789846777915955
HarmBench,3,400,bge-base-en-v1.5,0.9207087755203247,0.5209251046180725,0.4618573784828186
HarmBench,4,400,bge-base-en-v1.5,0.9200264811515808,0.5199938416481018,0.45904624462127686
HarmBench,0,400,bge-large-en-v1.5,0.9174481630325317,0.5360007882118225,0.45478853583335876
HarmBench,1,400,bge-large-en-v1.5,0.9124222993850708,0.5346295237541199,0.4545954465866089
HarmBench,2,400,bge-large-en-v1.5,0.9147176146507263,0.5386984348297119,0.45221349596977234
HarmBench,3,400,bge-large-en-v1.5,0.9139938354492188,0.535444438457489,0.4565069079399109
HarmBench,4,400,bge-large-en-v1.5,0.9115670919418335,0.5340084433555603,0.45353806018829346
HarmBench,0,400,Qwen3-Embedding-8B,0.8027238845825195,0.30932214856147766,0.25837627053260803
HarmBench,1,400,Qwen3-Embedding-8B,0.8005270957946777,0.3111853301525116,0.26342085003852844
HarmBench,2,400,Qwen3-Embedding-8B,0.8036314249038696,0.30461257696151733,0.2599639296531677
HarmBench,3,400,Qwen3-Embedding-8B,0.8043623566627502,0.3163032829761505,0.2599034011363983
HarmBench,4,400,Qwen3-Embedding-8B,0.8116869926452637,0.3135565519332886,0.2654605805873871
