train_ds,target_ds,embedder,seed,method,n_test,roc_auc,pr_auc,tpr_fpr1,tpr_fpr5
Wild,Wild,all-mpnet-base-v2,0,A1_raw,400,0.7684625,0.7315065081061227,0.04,0.165
Wild,Wild,all-mpnet-base-v2,0,B1_raw,400,0.8568625,0.8190570150979176,0.16,0.305
Wild,Wild,all-mpnet-base-v2,0,B1b_SigmaT,400,0.826425,0.8235633360506553,0.205,0.365
Wild,Wild,all-mpnet-base-v2,0,B1w_SigmaW,400,0.8403499999999999,0.8336912747737973,0.195,0.375
Wild,Wild,all-mpnet-base-v2,0,DELONG_B1w_vs_A1,400,0.0020735046813618,,,
Wild,ToxicChat,all-mpnet-base-v2,0,A1_raw,400,0.7509250000000001,0.7677838749019383,0.205,0.29
Wild,ToxicChat,all-mpnet-base-v2,0,B1_raw,400,0.67725,0.7320623692073763,0.225,0.345
Wild,ToxicChat,all-mpnet-base-v2,0,B1b_SigmaT,400,0.7025999999999999,0.7195727898428436,0.105,0.255
Wild,ToxicChat,all-mpnet-base-v2,0,B1w_SigmaW,400,0.7441,0.7550410967877832,0.14,0.31
Wild,ToxicChat,all-mpnet-base-v2,0,DELONG_B1w_vs_A1,400,0.8122887731724033,,,
Wild,XSTest,all-mpnet-base-v2,0,A1_raw,400,0.648825,0.6548875206055669,0.07,0.14
Wild,XSTest,all-mpnet-base-v2,0,B1_raw,400,0.637725,0.5854617507444619,0.015,0.05
Wild,XSTest,all-mpnet-base-v2,0,B1b_SigmaT,400,0.6648750000000001,0.6566861329342345,0.02,0.19
Wild,XSTest,all-mpnet-base-v2,0,B1w_SigmaW,400,0.6764749999999999,0.6721742581491028,0.08,0.215
Wild,XSTest,all-mpnet-base-v2,0,DELONG_B1w_vs_A1,400,0.4023046681317117,,,
Wild,AdvBench,all-mpnet-base-v2,0,A1_raw,400,0.82355,0.7337037847812937,0.01,0.12
Wild,AdvBench,all-mpnet-base-v2,0,B1_raw,400,0.8086,0.7608934797774606,0.025,0.21
Wild,AdvBench,all-mpnet-base-v2,0,B1b_SigmaT,400,0.575925,0.587656448531449,0.03,0.14
Wild,AdvBench,all-mpnet-base-v2,0,B1w_SigmaW,400,0.6355,0.6351378452193962,0.04,0.18
Wild,AdvBench,all-mpnet-base-v2,0,DELONG_B1w_vs_A1,400,3.7899654969919545e-08,,,
Wild,HarmBench,all-mpnet-base-v2,0,A1_raw,400,0.700125,0.6087928442197172,0.0,0.035
Wild,HarmBench,all-mpnet-base-v2,0,B1_raw,400,0.74005,0.6941031001214997,0.02,0.195
Wild,HarmBench,all-mpnet-base-v2,0,B1b_SigmaT,400,0.6778249999999999,0.7106288825251337,0.085,0.215
Wild,HarmBench,all-mpnet-base-v2,0,B1w_SigmaW,400,0.70715,0.7393124208388073,0.125,0.29
Wild,HarmBench,all-mpnet-base-v2,0,DELONG_B1w_vs_A1,400,0.8507125539968825,,,
Wild,Wild,all-mpnet-base-v2,1,A1_raw,400,0.7968,0.7583265459297802,0.06,0.205
Wild,Wild,all-mpnet-base-v2,1,B1_raw,400,0.8588749999999999,0.834029238538148,0.13,0.3
Wild,Wild,all-mpnet-base-v2,1,B1b_SigmaT,400,0.829625,0.8391928363475881,0.3,0.455
Wild,Wild,all-mpnet-base-v2,1,B1w_SigmaW,400,0.853075,0.8510109525480859,0.32,0.49
Wild,Wild,all-mpnet-base-v2,1,DELONG_B1w_vs_A1,400,0.0110145900088147,,,
Wild,ToxicChat,all-mpnet-base-v2,1,A1_raw,400,0.7545999999999999,0.761060010763061,0.18,0.235
Wild,ToxicChat,all-mpnet-base-v2,1,B1_raw,400,0.689775,0.7195644694512298,0.16,0.275
Wild,ToxicChat,all-mpnet-base-v2,1,B1b_SigmaT,400,0.733825,0.7526158310279121,0.165,0.315
Wild,ToxicChat,all-mpnet-base-v2,1,B1w_SigmaW,400,0.74305,0.759652335292056,0.185,0.285
Wild,ToxicChat,all-mpnet-base-v2,1,DELONG_B1w_vs_A1,400,0.6606056250638488,,,
Wild,XSTest,all-mpnet-base-v2,1,A1_raw,400,0.6312,0.6470414923291481,0.06,0.155
Wild,XSTest,all-mpnet-base-v2,1,B1_raw,400,0.5809500000000001,0.520482303759849,0.0,0.015
Wild,XSTest,all-mpnet-base-v2,1,B1b_SigmaT,400,0.554825,0.5418822069433176,0.01,0.08
Wild,XSTest,all-mpnet-base-v2,1,B1w_SigmaW,400,0.5556,0.5478914385109815,0.025,0.085
Wild,XSTest,all-mpnet-base-v2,1,DELONG_B1w_vs_A1,400,0.025059844149865,,,
Wild,AdvBench,all-mpnet-base-v2,1,A1_raw,400,0.8381749999999999,0.7516388859907959,0.005,0.135
Wild,AdvBench,all-mpnet-base-v2,1,B1_raw,400,0.771625,0.7313648727766106,0.05,0.21
Wild,AdvBench,all-mpnet-base-v2,1,B1b_SigmaT,400,0.6302000000000001,0.6180447359898442,0.035,0.105
Wild,AdvBench,all-mpnet-base-v2,1,B1w_SigmaW,400,0.61925,0.6051622505842134,0.02,0.11
Wild,AdvBench,all-mpnet-base-v2,1,DELONG_B1w_vs_A1,400,1.0645262449315853e-11,,,
Wild,HarmBench,all-mpnet-base-v2,1,A1_raw,400,0.712275,0.6169842577056655,0.0,0.015
Wild,HarmBench,all-mpnet-base-v2,1,B1_raw,400,0.729525,0.7088622105006346,0.04,0.22
Wild,HarmBench,all-mpnet-base-v2,1,B1b_SigmaT,400,0.6251249999999999,0.6387505481204018,0.035,0.175
Wild,HarmBench,all-mpnet-base-v2,1,B1w_SigmaW,400,0.628225,0.6433176070071719,0.035,0.215
