dataset,embedder,seed,method,roc_auc,tpr_fpr1,tpr_fpr5,tpr_fpr10,fpr_tpr90,brier,ece10
AdvBench,all-mpnet-base-v2,0,A1_raw,0.993515625,0.95,0.975,0.984375,0.005,0.08309192992821957,0.223832300477303
AdvBench,all-mpnet-base-v2,0,B1_raw,0.9974999999999999,0.9875,0.990625,0.990625,0.005,0.06557946285479894,0.20769335699196045
AdvBench,all-mpnet-base-v2,0,B1b_SigmaT,0.99890625,0.9875,0.996875,1.0,0.005,0.12914831392778078,0.31505647089618904
AdvBench,all-mpnet-base-v2,0,B1w_SigmaW,0.998875,0.990625,0.996875,1.0,0.005,0.0700685783657755,0.22658209858032374
AdvBench,all-mpnet-base-v2,1,A1_raw,0.99390625,0.940625,0.971875,0.98125,0.005,0.08459779529059648,0.22242162754902473
AdvBench,all-mpnet-base-v2,1,B1_raw,0.9980781249999999,0.984375,0.99375,0.996875,0.0,0.06438374582839845,0.20925073185219215
AdvBench,all-mpnet-base-v2,1,B1b_SigmaT,0.998109375,0.984375,0.99375,0.99375,0.005,0.14586930877200904,0.3097264184544866
AdvBench,all-mpnet-base-v2,1,B1w_SigmaW,0.99865625,0.99375,0.99375,0.996875,0.005,0.07600544527482943,0.2242885244007294
AdvBench,all-mpnet-base-v2,2,A1_raw,0.993046875,0.95,0.95625,0.984375,0.01,0.08366733883517852,0.2106214786664798
AdvBench,all-mpnet-base-v2,2,B1_raw,0.9973124999999999,0.96875,0.990625,0.99375,0.0,0.05982581010423354,0.18849194324933566
AdvBench,all-mpnet-base-v2,2,B1b_SigmaT,0.99828125,0.99375,0.996875,0.996875,0.0,0.13192950846387286,0.3084040426004391
AdvBench,all-mpnet-base-v2,2,B1w_SigmaW,0.9984218749999999,0.990625,0.996875,0.996875,0.0,0.07378836119306635,0.23404353957336682
AdvBench,all-mpnet-base-v2,3,A1_raw,0.995578125,0.953125,0.978125,0.984375,0.0,0.07961223064448329,0.2225854429201438
AdvBench,all-mpnet-base-v2,3,B1_raw,0.998046875,0.971875,0.99375,0.996875,0.0,0.06692052672021966,0.2111822563366821
AdvBench,all-mpnet-base-v2,3,B1b_SigmaT,0.999234375,0.990625,0.99375,0.996875,0.0,0.1289950714849758,0.2973308389576582
AdvBench,all-mpnet-base-v2,3,B1w_SigmaW,0.9995,0.996875,0.996875,0.996875,0.0,0.07655221761866285,0.2368499124351029
AdvBench,all-mpnet-base-v2,4,A1_raw,0.99446875,0.9375,0.975,0.98125,0.005,0.08048983962543083,0.2164061991354594
AdvBench,all-mpnet-base-v2,4,B1_raw,0.997921875,0.971875,0.99375,0.996875,0.0,0.060454904329300944,0.19523031125561552
AdvBench,all-mpnet-base-v2,4,B1b_SigmaT,0.997671875,0.9875,0.99375,0.996875,0.0,0.1376009653699612,0.31672720175523017
AdvBench,all-mpnet-base-v2,4,B1w_SigmaW,0.99825,0.990625,0.99375,0.996875,0.0,0.07187618935248319,0.2263832223386719
AdvBench,bge-base-en-v1.5,0,A1_raw,0.9915625,0.890625,0.953125,0.9625,0.015,0.10481397373789618,0.2491939983975429
AdvBench,bge-base-en-v1.5,0,B1_raw,0.9978281250000001,0.971875,0.984375,0.996875,0.005,0.06991921167153718,0.2058073694602801
AdvBench,bge-base-en-v1.5,0,B1b_SigmaT,0.999828125,0.996875,1.0,1.0,0.0,0.14918943198105616,0.31749934832064003
AdvBench,bge-base-en-v1.5,0,B1w_SigmaW,0.99984375,0.99375,1.0,1.0,0.0,0.07852771975807693,0.23892887249015843
AdvBench,bge-base-en-v1.5,1,A1_raw,0.9877343749999999,0.875,0.95,0.9625,0.015,0.1155958348819982,0.23996066007619868
AdvBench,bge-base-en-v1.5,1,B1_raw,0.9968281250000001,0.9625,0.9875,0.9875,0.005,0.07709600849753508,0.2205929214421373
AdvBench,bge-base-en-v1.5,1,B1b_SigmaT,0.999734375,0.990625,1.0,1.0,0.0,0.1280529525159175,0.3076729373003428
AdvBench,bge-base-en-v1.5,1,B1w_SigmaW,1.0,1.0,1.0,1.0,0.0,0.07465115513487947,0.24842154741860356
AdvBench,bge-base-en-v1.5,2,A1_raw,0.9936093749999999,0.9375,0.959375,0.984375,0.005,0.11220160402568366,0.2437530915897626
AdvBench,bge-base-en-v1.5,2,B1_raw,0.998234375,0.975,0.990625,0.996875,0.0,0.06966898405381954,0.21425534787659464
AdvBench,bge-base-en-v1.5,2,B1b_SigmaT,0.9995937500000001,0.990625,0.996875,1.0,0.0,0.12337610224245253,0.3024499054854879
AdvBench,bge-base-en-v1.5,2,B1w_SigmaW,0.9997968749999999,0.990625,1.0,1.0,0.0,0.06901919098981699,0.2271957780019595
AdvBench,bge-base-en-v1.5,3,A1_raw,0.990078125,0.909375,0.95625,0.965625,0.005,0.10343506685830402,0.23519715956197335
AdvBench,bge-base-en-v1.5,3,B1_raw,0.9966562499999999,0.9625,0.978125,0.9875,0.0,0.07327003183029264,0.20418909352559309
AdvBench,bge-base-en-v1.5,3,B1b_SigmaT,0.999546875,0.9875,1.0,1.0,0.0,0.12032882034753115,0.29417752265357056
AdvBench,bge-base-en-v1.5,3,B1w_SigmaW,0.9997499999999999,0.99375,1.0,1.0,0.0,0.07381656105733007,0.2332216642223872
AdvBench,bge-base-en-v1.5,4,A1_raw,0.9921249999999999,0.925,0.965625,0.975,0.005,0.11273100386768194,0.24029718515678095
AdvBench,bge-base-en-v1.5,4,B1_raw,0.998171875,0.975,0.990625,0.99375,0.0,0.07196149955708601,0.21653009504079818
