dataset,embedder,method,mean_roc_auc,std_roc_auc,mean_tpr_fpr1,mean_tpr_fpr5,mean_tpr_fpr10,mean_fpr_tpr90,mean_brier,mean_ece10
AdvBench,Qwen3-Embedding-8B,A1_raw,0.9966312500000001,0.00031436940849900784,0.969375,0.985,0.9893749999999999,0.0,0.06518682193759276,0.19930408595416402
AdvBench,Qwen3-Embedding-8B,B1_raw,0.9999656250000001,4.192627457812058e-05,0.99875,1.0,1.0,0.0,0.05238825109127686,0.19963321889822294
AdvBench,Qwen3-Embedding-8B,B1b_SigmaT,0.9999437499999999,5.014627042465375e-05,1.0,1.0,1.0,0.0,0.16573043812012384,0.33908675222729256
AdvBench,Qwen3-Embedding-8B,B1w_SigmaW,0.9999500000000001,6.385255231782786e-05,1.0,1.0,1.0,0.0,0.08358790026840651,0.2456234005724008
AdvBench,all-mpnet-base-v2,A1_raw,0.994103125,0.0009758184665640875,0.94625,0.9712500000000001,0.983125,0.005,0.08229182686478168,0.21917340974968216
AdvBench,all-mpnet-base-v2,B1_raw,0.9977718750000001,0.00034527361206365724,0.9768749999999999,0.9925,0.9949999999999999,0.001,0.06343288996739026,0.2023697199371571
AdvBench,all-mpnet-base-v2,B1b_SigmaT,0.998440625,0.0006270863614268074,0.9887500000000001,0.9949999999999999,0.996875,0.002,0.1347086336037199,0.3094489945328006
AdvBench,all-mpnet-base-v2,B1w_SigmaW,0.9987406249999999,0.0004858344947098981,0.9924999999999999,0.9956250000000001,0.9974999999999999,0.002,0.07365815836096341,0.2296294594656389
AdvBench,bge-base-en-v1.5,A1_raw,0.991021875,0.0022306185643644776,0.9075,0.9568749999999999,0.97,0.008999999999999998,0.10975549667431277,0.2416804189564517
AdvBench,bge-base-en-v1.5,B1_raw,0.99754375,0.0007503579874799869,0.969375,0.9862499999999998,0.9925,0.002,0.07238314712205403,0.21227496546908062
AdvBench,bge-base-en-v1.5,B1b_SigmaT,0.999678125,0.00011191252862169164,0.9918750000000001,0.99875,1.0,0.0,0.12764282442756422,0.30485826075220335
AdvBench,bge-base-en-v1.5,B1w_SigmaW,0.999821875,0.00011026424227735633,0.994375,0.999375,1.0,0.0,0.07328973032488814,0.23707509576987765
AdvBench,bge-large-en-v1.5,A1_raw,0.9964656250000001,0.0008029334645146451,0.9525,0.97875,0.9887499999999999,0.0,0.10271692547498879,0.24049089649262334
AdvBench,bge-large-en-v1.5,B1_raw,0.99914375,0.00017166179958714485,0.9862500000000001,0.9956249999999999,0.99875,0.0,0.06489079759086518,0.21186871518882416
AdvBench,bge-large-en-v1.5,B1b_SigmaT,0.9994781249999999,0.0003049077729412395,0.9925,0.9962500000000001,0.99875,0.0,0.13215070593487482,0.3144468232444846
AdvBench,bge-large-en-v1.5,B1w_SigmaW,0.999740625,0.00020509858528886343,0.99375,0.9981249999999999,1.0,0.0,0.07079305104844122,0.23359147426027516
HarmBench,Qwen3-Embedding-8B,A1_raw,0.842665,0.010266794168580557,0.34199999999999997,0.531,0.582,0.45899999999999996,0.17107761283263925,0.10072959377989169
HarmBench,Qwen3-Embedding-8B,B1_raw,0.999865,0.0001257477633995592,0.9959999999999999,0.999,1.0,0.0,0.07575047672229028,0.24948138050362467
