dataset,seed,n_test,model,method,roc_auc,pr_auc
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,A1_naive_cosine_raw,0.999384375,0.9985154876935726
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,0.9952625,0.9881811718049199
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B2b_contrastive_svd_whitened_k20,0.9926343750000001,0.9734088179810015
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,A1_naive_cosine_raw,0.999903125,0.9997223772321429
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,0.9793437500000001,0.9523520429953193
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B2b_contrastive_svd_whitened_k20,0.9846250000000001,0.9419094178401364
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,A1_naive_cosine_raw,0.99961875,0.9990291241053436
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,0.9880125,0.9727923790037178
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B2b_contrastive_svd_whitened_k20,0.99108125,0.9673424138019161
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,A1_naive_cosine_raw,0.999853125,0.9995721587045223
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,0.9966250000000001,0.9909806078493771
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B2b_contrastive_svd_whitened_k20,0.992340625,0.9727416559088239
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,A1_naive_cosine_raw,0.99974375,0.9993103003769679
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,0.9949125000000001,0.9869665831960812
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B2b_contrastive_svd_whitened_k20,0.9906999999999999,0.9662806905251312
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,A1_naive_cosine_raw,0.99995,0.9998472814834165
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,0.9949,0.9877192209101127
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,0.99993125,0.9997815539644501
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,A1_naive_cosine_raw,0.99925,0.9983877866638011
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,0.99996875,0.999905303030303
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,0.98800625,0.9714948392210528
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,0.999825,0.9994314340252957
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,A1_naive_cosine_raw,0.999825,0.9995009237990081
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,0.989678125,0.9789965558362702
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,A1_naive_cosine_raw,0.9991468750000001,0.9982486381819053
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,0.9999875,0.9999614197530864
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,0.9966468749999999,0.9911358991026408
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,A1_naive_cosine_raw,0.999321875,0.998634569286112
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,A1b_cosine_whitened,1.0,1.0
