dataset,seed,n_test,model,pair,method_1,method_2,auc_1,auc_2,auc_diff,p_value
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.999384375,0.0006156250000000085,0.15447086099190832
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.9952625,0.999384375,-0.0041218749999999416,0.00275728544017384
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.999903125,9.687499999999627e-05,0.31012580720421545
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.9793437500000001,0.999903125,-0.020559374999999935,2.4316297864146463e-09
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.99961875,0.00038124999999999964,0.20528670353946366
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.9880125,0.99961875,-0.01160625000000004,1.8811123646544914e-05
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.999853125,0.00014687499999999076,0.1749349957289721
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
