dataset,seed,n_test,model,cos_mu_mal_safe,mal_homog,safe_homog
AdvBench_BB_Safe,0,1320,all-mpnet-base-v2,0.11898358166217804,0.34240248799324036,0.3080824017524719
AdvBench_BB_Safe,1,1320,all-mpnet-base-v2,0.14159557223320007,0.34134694933891296,0.31124889850616455
AdvBench_BB_Safe,2,1320,all-mpnet-base-v2,0.12997503578662872,0.33817967772483826,0.30482780933380127
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,0.11179880797863007,0.3351955711841583,0.3035424053668976
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,0.13398146629333496,0.3271605372428894,0.3108942210674286
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,0.6608916521072388,0.608831524848938,0.6106253266334534
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,0.6686219573020935,0.6114493608474731,0.6103894114494324
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,0.663673460483551,0.604209303855896,0.6090754270553589
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,0.6548281311988831,0.6039884090423584,0.6090844869613647
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,0.6639337539672852,0.6020576357841492,0.6154412031173706
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,0.6780784130096436,0.6289024949073792,0.5789369940757751
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,0.6916177272796631,0.6296914219856262,0.5878323912620544
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,0.6842716336250305,0.6257197856903076,0.578494131565094
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,0.6744805574417114,0.6259820461273193,0.5783856511116028
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,0.6846668720245361,0.6222322583198547,0.5852808952331543
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,0.5053623914718628,0.5115350484848022,0.4713779389858246
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,0.5121458768844604,0.5075727105140686,0.4825431704521179
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,0.5105640292167664,0.5148766040802002,0.4702947735786438
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,0.5146626234054565,0.5132321715354919,0.4710748493671417
AdvBench_BB_Safe,4,1320,Qwen3-Embedding-8B,0.5125559568405151,0.5102909803390503,0.47758302092552185
AdvBench_BB_Mixed,0,720,all-mpnet-base-v2,0.08610764890909195,0.34240248799324036,0.37418508529663086
AdvBench_BB_Mixed,1,720,all-mpnet-base-v2,0.09836263209581375,0.34134694933891296,0.34262338280677795
AdvBench_BB_Mixed,2,720,all-mpnet-base-v2,0.07841794937849045,0.33817967772483826,0.3801378607749939
AdvBench_BB_Mixed,3,720,all-mpnet-base-v2,0.08348844200372696,0.3351956009864807,0.3744349777698517
AdvBench_BB_Mixed,4,720,all-mpnet-base-v2,0.10423777252435684,0.3271605372428894,0.3431853950023651
AdvBench_BB_Mixed,0,720,bge-base-en-v1.5,0.6582558155059814,0.608831524848938,0.6173601746559143
AdvBench_BB_Mixed,1,720,bge-base-en-v1.5,0.6725425720214844,0.6114493608474731,0.5950994491577148
