dataset,seed,method,n_ref,n_val,n_test,roc_auc,pr_auc
ToxicChat,0,RSFI-SVD,200,200,4682,0.7637456243915575,0.23626492910584934
ToxicChat,0,naive_cosine,200,200,4682,0.9190538329294309,0.42675635754482627
ToxicChat,0,LogReg,400,0,4682,0.9717967439259305,0.6136754533004972
ToxicChat,1,RSFI-SVD,200,200,4682,0.8022043745727956,0.2618150090701383
ToxicChat,1,naive_cosine,200,200,4682,0.9182693303506699,0.3897795673474973
ToxicChat,1,LogReg,400,0,4682,0.976498581163653,0.5780228681415637
ToxicChat,2,RSFI-SVD,200,200,4682,0.781193686696079,0.24527532965330587
ToxicChat,2,naive_cosine,200,200,4682,0.9390936017730277,0.4145871697928765
ToxicChat,2,LogReg,400,0,4682,0.976483046459123,0.6372748134629873
ToxicChat,3,RSFI-SVD,200,200,4682,0.6797909028770274,0.1645696488896109
ToxicChat,3,naive_cosine,200,200,4682,0.918427266513391,0.37899053287974455
ToxicChat,3,LogReg,400,0,4682,0.9703261252304315,0.4819145581338708
ToxicChat,4,RSFI-SVD,200,200,4682,0.8175992667619463,0.28320040979510097
ToxicChat,4,naive_cosine,200,200,4682,0.9441553263323598,0.3606618828026201
ToxicChat,4,LogReg,400,0,4682,0.9787873609643944,0.5515898561997287
