dataset,model,dim,seed,method,roc_auc,pr_auc,n_test
ToxicChat,all-mpnet-base-v2,768,0,A1_naive_cosine_raw,0.9112528273435536,0.5427745059850512,4682
ToxicChat,all-mpnet-base-v2,768,0,A1b_cosine_whitened,0.9602782396040752,0.6697633804718941,4682
ToxicChat,all-mpnet-base-v2,768,0,A2_rsfi_svd_raw_k20,0.929555647920815,0.5835582065729095,4682
ToxicChat,all-mpnet-base-v2,768,0,A3_rsfi_svd_whitened_k20,0.8885229183985153,0.49743057200179525,4682
ToxicChat,all-mpnet-base-v2,768,0,B1_discriminant_mean_raw,0.944610648210799,0.6528891981994951,4682
ToxicChat,all-mpnet-base-v2,768,0,B1b_discriminant_mean_whitened,0.9608702901772768,0.6641900315869356,4682
ToxicChat,all-mpnet-base-v2,768,0,B2_contrastive_svd_raw_k20,0.9449030486979721,0.6194204126656141,4682
ToxicChat,all-mpnet-base-v2,768,0,B2b_contrastive_svd_whitened_k20,0.9270714520463201,0.6069624631806898,4682
ToxicChat,all-mpnet-base-v2,768,0,C1_logreg_raw,0.9624482861948306,0.7085792626437419,4682
ToxicChat,all-mpnet-base-v2,768,0,C1b_logreg_whitened,0.9582084791308214,0.644254440295224,4682
ToxicChat,all-mpnet-base-v2,768,1,A1_naive_cosine_raw,0.9106317783749298,0.5114645343932308,4682
ToxicChat,all-mpnet-base-v2,768,1,A1b_cosine_whitened,0.9667340073849248,0.7326309883065815,4682
ToxicChat,all-mpnet-base-v2,768,1,A2_rsfi_svd_raw_k20,0.9388000947280918,0.5833589680151545,4682
ToxicChat,all-mpnet-base-v2,768,1,A3_rsfi_svd_whitened_k20,0.8551197875384229,0.44992688892373156,4682
ToxicChat,all-mpnet-base-v2,768,1,B1_discriminant_mean_raw,0.9490232373808649,0.6340594523741017,4682
ToxicChat,all-mpnet-base-v2,768,1,B1b_discriminant_mean_whitened,0.9647754074274557,0.7243365829928664,4682
ToxicChat,all-mpnet-base-v2,768,1,B2_contrastive_svd_raw_k20,0.9487876254180603,0.6440424077513527,4682
ToxicChat,all-mpnet-base-v2,768,1,B2b_contrastive_svd_whitened_k20,0.9133068803526204,0.5398097634881742,4682
ToxicChat,all-mpnet-base-v2,768,1,C1_logreg_raw,0.9708227811394438,0.7013382159327177,4682
ToxicChat,all-mpnet-base-v2,768,1,C1b_logreg_whitened,0.9604957275697411,0.7043881637734478,4682
ToxicChat,all-mpnet-base-v2,768,2,A1_naive_cosine_raw,0.9230068436213197,0.5068897814462177,4682
ToxicChat,all-mpnet-base-v2,768,2,A1b_cosine_whitened,0.9577735031994895,0.7083329193474693,4682
ToxicChat,all-mpnet-base-v2,768,2,A2_rsfi_svd_raw_k20,0.9452341137123746,0.5981963148757448,4682
ToxicChat,all-mpnet-base-v2,768,2,A3_rsfi_svd_whitened_k20,0.8907666692443018,0.4940015631768712,4682
ToxicChat,all-mpnet-base-v2,768,2,B1_discriminant_mean_raw,0.9554173835714423,0.6429039995548421,4682
ToxicChat,all-mpnet-base-v2,768,2,B1b_discriminant_mean_whitened,0.95934062481876,0.7127474602120601,4682
ToxicChat,all-mpnet-base-v2,768,2,B2_contrastive_svd_raw_k20,0.9571367467666789,0.6719839290088693,4682
ToxicChat,all-mpnet-base-v2,768,2,B2b_contrastive_svd_whitened_k20,0.929403406344849,0.5818058445956731,4682
ToxicChat,all-mpnet-base-v2,768,2,C1_logreg_raw,0.9740657683608174,0.7232552419070609,4682
ToxicChat,all-mpnet-base-v2,768,2,C1b_logreg_whitened,0.9565459044599532,0.7021395799781465,4682
ToxicChat,all-mpnet-base-v2,768,3,A1_naive_cosine_raw,0.9123740986332088,0.5293801495038692,4682
ToxicChat,all-mpnet-base-v2,768,3,A1b_cosine_whitened,0.9594203704061709,0.6919077904682631,4682
