dataset,model,dim,seed,method,roc_auc,pr_auc,n_test
ToxicChat,Qwen3-Embedding-8B,4096,0,A1_naive_cosine_raw,0.7983801979623795,0.27858445517061947,4682
ToxicChat,Qwen3-Embedding-8B,4096,0,A1b_cosine_whitened,0.9591533435149923,0.6752362038970484,4682
ToxicChat,Qwen3-Embedding-8B,4096,0,A2_rsfi_svd_raw_k20,0.8587790225607517,0.34877983066079177,4682
ToxicChat,Qwen3-Embedding-8B,4096,0,A3_rsfi_svd_whitened_k20,0.8284044116225568,0.3205344299913621,4682
ToxicChat,Qwen3-Embedding-8B,4096,0,B1_discriminant_mean_raw,0.9597659346182845,0.6873243344637947,4682
ToxicChat,Qwen3-Embedding-8B,4096,0,B1b_discriminant_mean_whitened,0.960498144102693,0.6829836318702079,4682
ToxicChat,Qwen3-Embedding-8B,4096,0,C1_logreg_raw,0.9748595994354979,0.7476507425899646,4682
ToxicChat,Qwen3-Embedding-8B,4096,0,C1b_logreg_whitened,0.9602734065381716,0.6807973484533603,4682
ToxicChat,Qwen3-Embedding-8B,4096,1,A1_naive_cosine_raw,0.8129808900574168,0.2714209180675626,4682
ToxicChat,Qwen3-Embedding-8B,4096,1,A1b_cosine_whitened,0.9682999207377192,0.7370569258670254,4682
ToxicChat,Qwen3-Embedding-8B,4096,1,A2_rsfi_svd_raw_k20,0.8590001353258453,0.32041454551449283,4682
ToxicChat,Qwen3-Embedding-8B,4096,1,A3_rsfi_svd_whitened_k20,0.8292260328261837,0.2785908174613795,4682
ToxicChat,Qwen3-Embedding-8B,4096,1,B1_discriminant_mean_raw,0.960204535349044,0.6588475912461679,4682
ToxicChat,Qwen3-Embedding-8B,4096,1,B1b_discriminant_mean_whitened,0.9670650723993273,0.7396509942608774,4682
ToxicChat,Qwen3-Embedding-8B,4096,1,C1_logreg_raw,0.9797277050669863,0.7688835761332635,4682
ToxicChat,Qwen3-Embedding-8B,4096,1,C1b_logreg_whitened,0.9657480619405726,0.7350433342525782,4682
ToxicChat,Qwen3-Embedding-8B,4096,2,A1_naive_cosine_raw,0.808660129139521,0.275332211008557,4682
ToxicChat,Qwen3-Embedding-8B,4096,2,A1b_cosine_whitened,0.9724080267558528,0.7047095189241677,4682
ToxicChat,Qwen3-Embedding-8B,4096,2,A2_rsfi_svd_raw_k20,0.8755195545846464,0.36283197738661915,4682
ToxicChat,Qwen3-Embedding-8B,4096,2,A3_rsfi_svd_whitened_k20,0.8861148433120035,0.4013372400242458,4682
ToxicChat,Qwen3-Embedding-8B,4096,2,B1_discriminant_mean_raw,0.9672898099638486,0.6874197473803421,4682
