method,roc_auc,pr_auc,tpr_at_fpr_0100,actual_fpr_0100_test,threshold_for_fpr_0100,tpr_at_fpr_0010,actual_fpr_0010_test,threshold_for_fpr_0010,seed
RSFI-SVD,0.634104761904762,0.6102592949287933,0.13,0.01888888888888889,0.05884212841956883,0.13,0.01888888888888889,0.05884212841956883,0
naive_cosine,0.7768992063492064,0.6994284661205028,0.03857142857142857,0.0077777777777777776,0.7341834902763367,0.03857142857142857,0.0077777777777777776,0.7341834902763367,0
LogReg,0.874523015873016,0.817350301334417,0.43,0.06777777777777778,2.184465739752891,0.3457142857142857,0.04888888888888889,2.3754015453333506,0
RSFI-SVD,0.608754761904762,0.5893651141388687,0.08428571428571428,0.005555555555555556,0.1556751798913394,0.08428571428571428,0.005555555555555556,0.1556751798913394,1
naive_cosine,0.7874944444444444,0.7158222938497283,0.16714285714285715,0.03333333333333333,0.6637816429138184,0.07571428571428572,0.01,0.7179688811302185,1
LogReg,0.8714396825396825,0.8025729509771967,0.5071428571428571,0.08,1.9127448183828515,0.44,0.06555555555555556,2.051676784561859,1
RSFI-SVD,0.6455547619047619,0.6176605692080197,0.16285714285714287,0.035555555555555556,0.04762321208573683,0.16142857142857142,0.02666666666666667,0.04926731132702431,2
naive_cosine,0.780297619047619,0.7096239248809562,0.041428571428571426,0.005555555555555556,0.7385544776916504,0.018571428571428572,0.0022222222222222222,0.7614811062812805,2
LogReg,0.8712269841269842,0.8095098224652173,0.3,0.03666666666666667,2.320561998047224,0.10714285714285714,0.008888888888888889,2.7488183491793867,2
RSFI-SVD,0.6129253968253968,0.5826057003035202,0.09285714285714286,0.006666666666666667,0.1127959181734507,0.018571428571428572,0.0,0.9999996081594635,3
naive_cosine,0.7820023809523808,0.7104419568291065,0.07714285714285714,0.012222222222222223,0.7124539613723755,0.07,0.012222222222222223,0.7165960073471069,3
LogReg,0.8699873015873016,0.8139458927677518,0.22857142857142856,0.028888888888888888,2.5253816780027414,0.09142857142857143,0.0044444444444444444,2.9332878209495785,3
RSFI-SVD,0.6108333333333333,0.5637299463406102,0.07,0.017777777777777778,0.10678166846911255,0.06285714285714286,0.012222222222222223,0.12582741990557483,4
naive_cosine,0.7756412698412698,0.7059295275556527,0.11714285714285715,0.024444444444444446,0.6846868991851807,0.11714285714285715,0.024444444444444446,0.6846868991851807,4
LogReg,0.8645317460317461,0.794058589936096,0.19857142857142857,0.024444444444444446,2.7107854413106285,0.13857142857142857,0.015555555555555555,2.861816128892573,4
