obfuscation,method,roc_auc,pr_auc,n_ref,n_test_attack,n_test_safe
clean,RSFI-SVD,0.4033333333333333,0.12395275631740753,5,5,60
clean,naive_cosine,0.8366666666666667,0.3754545454545455,5,5,60
base64,RSFI-SVD,0.16333333333333336,0.05343305514759391,5,5,60
base64,naive_cosine,0.45666666666666667,0.08105672658304236,5,5,60
leetspeak,RSFI-SVD,0.5833333333333334,0.10263860291313963,5,5,60
leetspeak,naive_cosine,0.5166666666666666,0.08930907055907056,5,5,60
rot13,RSFI-SVD,0.31333333333333335,0.06471968929415738,5,5,60
rot13,naive_cosine,0.43666666666666665,0.07712988703487852,5,5,60
zero_width,RSFI-SVD,0.4033333333333333,0.12395275631740753,5,5,60
zero_width,naive_cosine,0.8366666666666667,0.3754545454545455,5,5,60
homoglyph,RSFI-SVD,0.37,0.07348476555373107,5,5,60
homoglyph,naive_cosine,0.35,0.06975770101149273,5,5,60
