seed,n_ref_mal,n_ref_safe,n_test_attack,n_test_safe,obfuscation,method,roc_auc,pr_auc,dataset,model,dim
0,200,200,184,4498,clean,A1_naive_cosine_raw,0.9112528273435536,0.5427745059850512,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,clean,A2_rsfi_svd_raw_k20,0.929555647920815,0.5835582065729095,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,clean,B1_discriminant_mean_raw,0.944610648210799,0.6528891981994951,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,clean,B1b_SigmaT_wh,0.9608690819108009,0.6641808143083994,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,clean,B1w_SigmaW_wh,0.965140303903184,0.6870063235362782,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,clean,C1_logreg_raw,0.9624482861948306,0.7085792626437419,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,base64,A1_naive_cosine_raw,0.7482987608019023,0.07840524368529236,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,base64,A2_rsfi_svd_raw_k20,0.5881019583583041,0.0478219207252575,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,base64,B1_discriminant_mean_raw,0.633883175130976,0.05730558143112867,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,base64,B1b_SigmaT_wh,0.6279095056740194,0.05187992255978847,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,base64,B1w_SigmaW_wh,0.6462389081137511,0.056642634871159156,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,base64,C1_logreg_raw,0.662711204979991,0.06427687368879051,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,leetspeak,A1_naive_cosine_raw,0.7548101088406441,0.07400539009197993,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,leetspeak,A2_rsfi_svd_raw_k20,0.5644199354302395,0.04084462105697977,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,leetspeak,B1_discriminant_mean_raw,0.6022169273300211,0.0464326775776889,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,leetspeak,B1b_SigmaT_wh,0.5318849440330968,0.03806602723144294,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,leetspeak,B1w_SigmaW_wh,0.441726516132774,0.03187835393577313,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,leetspeak,C1_logreg_raw,0.5869396060084675,0.04489430033556164,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,rot13,A1_naive_cosine_raw,0.8216344945579679,0.09558632902056759,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,rot13,A2_rsfi_svd_raw_k20,0.7275987395364123,0.06387973128458371,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,rot13,B1_discriminant_mean_raw,0.6449098149902373,0.0498094409279345,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,rot13,B1b_SigmaT_wh,0.5466801670307576,0.039246835306859115,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,rot13,B1w_SigmaW_wh,0.5361138766988227,0.03821244599021095,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,rot13,C1_logreg_raw,0.625152241575966,0.04720355087133366,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,zero_width,A1_naive_cosine_raw,0.9112528273435536,0.5427745059850512,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,zero_width,A2_rsfi_svd_raw_k20,0.929555647920815,0.5835582065729095,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,zero_width,B1_discriminant_mean_raw,0.944610648210799,0.6528891981994951,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,zero_width,B1b_SigmaT_wh,0.9608690819108009,0.6641808143083994,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,zero_width,B1w_SigmaW_wh,0.965140303903184,0.6870063235362782,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,zero_width,C1_logreg_raw,0.9624482861948306,0.7085792626437419,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,homoglyph,A1_naive_cosine_raw,0.83017814680921,0.10835074257697441,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,homoglyph,A2_rsfi_svd_raw_k20,0.7700052680418349,0.0752531913976306,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,homoglyph,B1_discriminant_mean_raw,0.8147582500434976,0.1047390464767311,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,homoglyph,B1b_SigmaT_wh,0.8158819378661049,0.1174277878485072,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,homoglyph,B1w_SigmaW_wh,0.8314552844742591,0.12015955786495208,ToxicChat,all-mpnet-base-v2,768
0,200,200,184,4498,homoglyph,C1_logreg_raw,0.8250889284126277,0.11056490920737023,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,clean,A1_naive_cosine_raw,0.9106317783749298,0.5114645343932308,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,clean,A2_rsfi_svd_raw_k20,0.9388000947280918,0.5833589680151545,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,clean,B1_discriminant_mean_raw,0.9490232373808649,0.6340594523741017,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,clean,B1b_SigmaT_wh,0.9647778239604075,0.7243288517097024,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,clean,B1w_SigmaW_wh,0.9684787441761558,0.7268947834998893,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,clean,C1_logreg_raw,0.9708227811394438,0.7013382159327177,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,base64,A1_naive_cosine_raw,0.74916750439809,0.07893070178622087,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,base64,A2_rsfi_svd_raw_k20,0.5770366539718136,0.045704807590153135,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,base64,B1_discriminant_mean_raw,0.7167013841900748,0.07503340134428031,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,base64,B1b_SigmaT_wh,0.7640062249888839,0.07790134480591467,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,base64,B1w_SigmaW_wh,0.8004801650975313,0.09318464648514874,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,base64,C1_logreg_raw,0.7948436019873567,0.10110375461568913,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,leetspeak,A1_naive_cosine_raw,0.765178243470528,0.07723836237811374,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,leetspeak,A2_rsfi_svd_raw_k20,0.6574032903512672,0.05223377914221031,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,leetspeak,B1_discriminant_mean_raw,0.660938678059814,0.05438686537195442,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,leetspeak,B1b_SigmaT_wh,0.8434352465830223,0.11384342399811147,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,leetspeak,B1w_SigmaW_wh,0.8503755292207165,0.11857517914719821,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,leetspeak,C1_logreg_raw,0.7628680379685656,0.07880318150954156,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,rot13,A1_naive_cosine_raw,0.831750101494384,0.09931331467801097,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,rot13,A2_rsfi_svd_raw_k20,0.7588191370077522,0.07143973963360184,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,rot13,B1_discriminant_mean_raw,0.6868330369052912,0.055922353669028674,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,rot13,B1b_SigmaT_wh,0.7087002435865215,0.06078769271278584,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,rot13,B1w_SigmaW_wh,0.7533142749434532,0.07176418702067623,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,rot13,C1_logreg_raw,0.7290776577029404,0.06441970967430878,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,zero_width,A1_naive_cosine_raw,0.9106317783749298,0.5114645343932308,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,zero_width,A2_rsfi_svd_raw_k20,0.9388000947280918,0.5833589680151545,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,zero_width,B1_discriminant_mean_raw,0.9490232373808649,0.6340594523741017,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,zero_width,B1b_SigmaT_wh,0.9647778239604076,0.7243288517097025,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,zero_width,B1w_SigmaW_wh,0.9684787441761558,0.7268947834998893,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,zero_width,C1_logreg_raw,0.9708227811394438,0.7013382159327177,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,homoglyph,A1_naive_cosine_raw,0.8374990333868192,0.11937740870227423,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,homoglyph,A2_rsfi_svd_raw_k20,0.7269523169717942,0.06749828639478009,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,homoglyph,B1_discriminant_mean_raw,0.8396388733156765,0.12670075877565803,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,homoglyph,B1b_SigmaT_wh,0.84865616602548,0.13583594500290183,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,homoglyph,B1w_SigmaW_wh,0.8809688363910531,0.16890527467307898,ToxicChat,all-mpnet-base-v2,768
1,200,200,184,4498,homoglyph,C1_logreg_raw,0.858971136930423,0.14185989397861692,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,clean,A1_naive_cosine_raw,0.9230068436213197,0.5068897814462177,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,clean,A2_rsfi_svd_raw_k20,0.9452341137123746,0.5981963148757448,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,clean,B1_discriminant_mean_raw,0.9554173835714423,0.6429039995548421,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,clean,B1b_SigmaT_wh,0.9593418330852359,0.7126880783383016,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,clean,B1w_SigmaW_wh,0.9696217642623776,0.7324433446919775,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,clean,C1_logreg_raw,0.9740657683608174,0.7232552419070609,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,base64,A1_naive_cosine_raw,0.7357110406557504,0.07485861303030483,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,base64,A2_rsfi_svd_raw_k20,0.597144624664102,0.04747532848634469,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,base64,B1_discriminant_mean_raw,0.620990971832892,0.05324475017126106,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,base64,B1b_SigmaT_wh,0.804740512691631,0.09080428716250205,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,base64,B1w_SigmaW_wh,0.809770526030893,0.09501063038260381,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,base64,C1_logreg_raw,0.6858700485239818,0.06398250233549832,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,leetspeak,A1_naive_cosine_raw,0.7701792584143677,0.07967095956650563,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,leetspeak,A2_rsfi_svd_raw_k20,0.6306619367061689,0.04828123525618922,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,leetspeak,B1_discriminant_mean_raw,0.6678686904324628,0.05715993414875828,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,leetspeak,B1b_SigmaT_wh,0.8806027316488487,0.22386778363303367,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,leetspeak,B1w_SigmaW_wh,0.8697621648268795,0.1986928168956749,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,leetspeak,C1_logreg_raw,0.7511140216907997,0.08340649277469334,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,rot13,A1_naive_cosine_raw,0.8302989734568021,0.10237268616810563,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,rot13,A2_rsfi_svd_raw_k20,0.7385637578054014,0.06706865856896116,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,rot13,B1_discriminant_mean_raw,0.7301965124596439,0.06507782173708591,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,rot13,B1b_SigmaT_wh,0.8984802424265858,0.1773207615926763,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,rot13,B1w_SigmaW_wh,0.9082430355520328,0.1933494041099063,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,rot13,C1_logreg_raw,0.7919957179036095,0.08429250013999412,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,A1_naive_cosine_raw,0.9230068436213197,0.5068897814462177,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,A2_rsfi_svd_raw_k20,0.9452341137123746,0.5981963148757448,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,B1_discriminant_mean_raw,0.9554173835714423,0.6429039995548421,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,B1b_SigmaT_wh,0.9593430413517119,0.7126899913329574,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,B1w_SigmaW_wh,0.9696217642623776,0.7324433446919775,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,C1_logreg_raw,0.9740657683608174,0.7232552419070609,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,homoglyph,A1_naive_cosine_raw,0.8523546697082762,0.1293504642622855,ToxicChat,all-mpnet-base-v2,768
