dataset,model,dim,seed,n_ref_mal,n_ref_safe,n_test,method,roc_auc,pr_auc
ToxicChat,all-mpnet-base-v2,768,0,200,200,4682,kNN_1class,0.9335060751638409,0.5683091425861199
ToxicChat,all-mpnet-base-v2,768,0,200,200,4682,kNN_2class,0.9529283546310439,0.6155631545085758
ToxicChat,all-mpnet-base-v2,768,1,200,200,4682,kNN_1class,0.9374130048137336,0.5661757185974235
ToxicChat,all-mpnet-base-v2,768,1,200,200,4682,kNN_2class,0.9623842480716067,0.6583099160376472
ToxicChat,all-mpnet-base-v2,768,2,200,200,4682,kNN_1class,0.944534527422816,0.5838640928153754
ToxicChat,all-mpnet-base-v2,768,2,200,200,4682,kNN_2class,0.9642510197769055,0.7047258061453568
ToxicChat,all-mpnet-base-v2,768,3,200,200,4682,kNN_1class,0.9299966651845264,0.5441916436398726
ToxicChat,all-mpnet-base-v2,768,3,200,200,4682,kNN_2class,0.9548494983277591,0.5972887522702657
ToxicChat,all-mpnet-base-v2,768,4,200,200,4682,kNN_1class,0.9442058789413652,0.5889388886214685
ToxicChat,all-mpnet-base-v2,768,4,200,200,4682,kNN_2class,0.9565253639298625,0.614787625490269
ToxicChat,bge-base-en-v1.5,768,0,200,200,4682,kNN_1class,0.8919398959924218,0.46377317441784754
ToxicChat,bge-base-en-v1.5,768,0,200,200,4682,kNN_2class,0.9358422583950357,0.5896909501676411
ToxicChat,bge-base-en-v1.5,768,1,200,200,4682,kNN_1class,0.9097147041197053,0.5137787900533075
ToxicChat,bge-base-en-v1.5,768,1,200,200,4682,kNN_2class,0.957384441394243,0.6365961252896587
ToxicChat,bge-base-en-v1.5,768,2,200,200,4682,kNN_1class,0.9176421404682273,0.5469762591983485
ToxicChat,bge-base-en-v1.5,768,2,200,200,4682,kNN_2class,0.9516657161637055,0.663017672210377
ToxicChat,bge-base-en-v1.5,768,3,200,200,4682,kNN_1class,0.8942416436290525,0.4639315642031519
ToxicChat,bge-base-en-v1.5,768,3,200,200,4682,kNN_2class,0.945119328397162,0.5959396815340496
ToxicChat,bge-base-en-v1.5,768,4,200,200,4682,kNN_1class,0.9110389641773156,0.5033363687913062
ToxicChat,bge-base-en-v1.5,768,4,200,200,4682,kNN_2class,0.9506664797881184,0.6214326913166738
ToxicChat,bge-large-en-v1.5,1024,0,200,200,4682,kNN_1class,0.8977601156069364,0.49478415778052415
ToxicChat,bge-large-en-v1.5,1024,0,200,200,4682,kNN_2class,0.9398367873644325,0.5758540501447776
ToxicChat,bge-large-en-v1.5,1024,1,200,200,4682,kNN_1class,0.9096645610609546,0.5183330828031989
ToxicChat,bge-large-en-v1.5,1024,1,200,200,4682,kNN_2class,0.9594747423975873,0.6623387761947633
ToxicChat,bge-large-en-v1.5,1024,2,200,200,4682,kNN_1class,0.9205153981479691,0.5518971014668399
ToxicChat,bge-large-en-v1.5,1024,2,200,200,4682,kNN_2class,0.959294710692675,0.678898438209564
ToxicChat,bge-large-en-v1.5,1024,3,200,200,4682,kNN_1class,0.8942422477622906,0.4945449864076649
ToxicChat,bge-large-en-v1.5,1024,3,200,200,4682,kNN_2class,0.9511074970518298,0.5936594355446124
ToxicChat,bge-large-en-v1.5,1024,4,200,200,4682,kNN_1class,0.9100518104664875,0.5067148701514145
ToxicChat,bge-large-en-v1.5,1024,4,200,200,4682,kNN_2class,0.9467251145436619,0.5984289078753292
Wild,all-mpnet-base-v2,768,0,200,200,1600,kNN_1class,0.8047226562500001,0.7899744517189196
Wild,all-mpnet-base-v2,768,0,200,200,1600,kNN_2class,0.8818343750000002,0.8643388276305852
Wild,all-mpnet-base-v2,768,1,200,200,1600,kNN_1class,0.81486328125,0.8094130903145536
Wild,all-mpnet-base-v2,768,1,200,200,1600,kNN_2class,0.87590703125,0.8655180061611166
