dataset,model,dim,seed,n_ref_mal,n_ref_safe,n_test,method,roc_auc,pr_auc
ToxicChat,all-mpnet-base-v2,768,0,200,200,4682,B1_raw,0.944610648210799,0.6528891981994951
ToxicChat,all-mpnet-base-v2,768,0,200,200,4682,B1b_SigmaT_wh,0.9608690819108009,0.6641808143083994
ToxicChat,all-mpnet-base-v2,768,0,200,200,4682,B1w_SigmaW_wh,0.965140303903184,0.6870063235362782
ToxicChat,all-mpnet-base-v2,768,1,200,200,4682,B1_raw,0.9490232373808649,0.6340594523741017
ToxicChat,all-mpnet-base-v2,768,1,200,200,4682,B1b_SigmaT_wh,0.9647778239604075,0.7243288517097024
ToxicChat,all-mpnet-base-v2,768,1,200,200,4682,B1w_SigmaW_wh,0.9684787441761558,0.7268947834998893
ToxicChat,all-mpnet-base-v2,768,2,200,200,4682,B1_raw,0.9554173835714423,0.6429039995548421
ToxicChat,all-mpnet-base-v2,768,2,200,200,4682,B1b_SigmaT_wh,0.9593418330852359,0.7126880783383016
ToxicChat,all-mpnet-base-v2,768,2,200,200,4682,B1w_SigmaW_wh,0.9696217642623776,0.7324433446919775
ToxicChat,all-mpnet-base-v2,768,3,200,200,4682,B1_raw,0.9494618381116244,0.6496724108373221
ToxicChat,all-mpnet-base-v2,768,3,200,200,4682,B1b_SigmaT_wh,0.9611796063951129,0.695325905945105
ToxicChat,all-mpnet-base-v2,768,3,200,200,4682,B1w_SigmaW_wh,0.9636420534730412,0.7065535213036482
ToxicChat,all-mpnet-base-v2,768,4,200,200,4682,B1_raw,0.9559296885572333,0.6457028507849555
ToxicChat,all-mpnet-base-v2,768,4,200,200,4682,B1b_SigmaT_wh,0.9621051385156688,0.6876598064623219
ToxicChat,all-mpnet-base-v2,768,4,200,200,4682,B1w_SigmaW_wh,0.9732791868849924,0.7276539884225042
ToxicChat,bge-base-en-v1.5,768,0,200,200,4682,B1_raw,0.9398355790979566,0.6175653275281962
ToxicChat,bge-base-en-v1.5,768,0,200,200,4682,B1b_SigmaT_wh,0.9540194192588011,0.6607258151668562
ToxicChat,bge-base-en-v1.5,768,0,200,200,4682,B1w_SigmaW_wh,0.9616169988593966,0.6933647168738394
ToxicChat,bge-base-en-v1.5,768,1,200,200,4682,B1_raw,0.9435099174512344,0.5979966011943157
ToxicChat,bge-base-en-v1.5,768,1,200,200,4682,B1b_SigmaT_wh,0.9557991957778337,0.6653531916711966
ToxicChat,bge-base-en-v1.5,768,1,200,200,4682,B1w_SigmaW_wh,0.9660066309664198,0.6879867968557151
ToxicChat,bge-base-en-v1.5,768,2,200,200,4682,B1_raw,0.9567428518955283,0.6530952768391326
ToxicChat,bge-base-en-v1.5,768,2,200,200,4682,B1b_SigmaT_wh,0.9528063197169755,0.6932333931689993
ToxicChat,bge-base-en-v1.5,768,2,200,200,4682,B1w_SigmaW_wh,0.9621196377133798,0.7063164364893274
ToxicChat,bge-base-en-v1.5,768,3,200,200,4682,B1_raw,0.9469474355752315,0.6336107002394661
ToxicChat,bge-base-en-v1.5,768,3,200,200,4682,B1b_SigmaT_wh,0.9578508322539487,0.6589547693594134
ToxicChat,bge-base-en-v1.5,768,3,200,200,4682,B1w_SigmaW_wh,0.9640528640748546,0.6776644591168248
ToxicChat,bge-base-en-v1.5,768,4,200,200,4682,B1_raw,0.9492866394726158,0.6139161234205749
ToxicChat,bge-base-en-v1.5,768,4,200,200,4682,B1b_SigmaT_wh,0.9416407292129836,0.6579479724355535
ToxicChat,bge-base-en-v1.5,768,4,200,200,4682,B1w_SigmaW_wh,0.9542405320238947,0.6828545821919101
ToxicChat,bge-large-en-v1.5,1024,0,200,200,4682,B1_raw,0.945382730488913,0.6358523682203561
ToxicChat,bge-large-en-v1.5,1024,0,200,200,4682,B1b_SigmaT_wh,0.9536533145165967,0.6598657673190096
ToxicChat,bge-large-en-v1.5,1024,0,200,200,4682,B1w_SigmaW_wh,0.9632711156649331,0.6922178736518425
ToxicChat,bge-large-en-v1.5,1024,1,200,200,4682,B1_raw,0.9513467338140622,0.6019726153202376
ToxicChat,bge-large-en-v1.5,1024,1,200,200,4682,B1b_SigmaT_wh,0.9561568426547065,0.6647709045774942
ToxicChat,bge-large-en-v1.5,1024,1,200,200,4682,B1w_SigmaW_wh,0.963985201152203,0.6828241865931635
ToxicChat,bge-large-en-v1.5,1024,2,200,200,4682,B1_raw,0.9596281922400295,0.648253377894279
ToxicChat,bge-large-en-v1.5,1024,2,200,200,4682,B1b_SigmaT_wh,0.9580779863514219,0.7037584909230847
ToxicChat,bge-large-en-v1.5,1024,2,200,200,4682,B1w_SigmaW_wh,0.9633798596477662,0.7130788448851008
ToxicChat,bge-large-en-v1.5,1024,3,200,200,4682,B1_raw,0.9506278152608889,0.6321966557015046
ToxicChat,bge-large-en-v1.5,1024,3,200,200,4682,B1b_SigmaT_wh,0.9532231716511685,0.6998426871880764
ToxicChat,bge-large-en-v1.5,1024,3,200,200,4682,B1w_SigmaW_wh,0.9634898118970749,0.7231717226220712
ToxicChat,bge-large-en-v1.5,1024,4,200,200,4682,B1_raw,0.9508187213640845,0.610594543815308
ToxicChat,bge-large-en-v1.5,1024,4,200,200,4682,B1b_SigmaT_wh,0.9568648868095966,0.6912588706234282
ToxicChat,bge-large-en-v1.5,1024,4,200,200,4682,B1w_SigmaW_wh,0.9646002087884471,0.7102736528200826
Wild,all-mpnet-base-v2,768,0,200,200,1600,B1_raw,0.87066875,0.8332459258371694
Wild,all-mpnet-base-v2,768,0,200,200,1600,B1b_SigmaT_wh,0.83020234375,0.8155563976306524
Wild,all-mpnet-base-v2,768,0,200,200,1600,B1w_SigmaW_wh,0.84590234375,0.834705999990212
Wild,all-mpnet-base-v2,768,1,200,200,1600,B1_raw,0.8709398437500001,0.8394145108862027
Wild,all-mpnet-base-v2,768,1,200,200,1600,B1b_SigmaT_wh,0.83961953125,0.8432540736859128
Wild,all-mpnet-base-v2,768,1,200,200,1600,B1w_SigmaW_wh,0.8612710937499999,0.8576542975723616
Wild,all-mpnet-base-v2,768,2,200,200,1600,B1_raw,0.8649875,0.8272879251347324
Wild,all-mpnet-base-v2,768,2,200,200,1600,B1b_SigmaT_wh,0.8346812499999999,0.8224294221123374
Wild,all-mpnet-base-v2,768,2,200,200,1600,B1w_SigmaW_wh,0.8514546875,0.8318476451562808
Wild,all-mpnet-base-v2,768,3,200,200,1600,B1_raw,0.85695703125,0.8277850495472124
Wild,all-mpnet-base-v2,768,3,200,200,1600,B1b_SigmaT_wh,0.8283148437500001,0.808104667973213
Wild,all-mpnet-base-v2,768,3,200,200,1600,B1w_SigmaW_wh,0.84151875,0.8238723159452354
Wild,all-mpnet-base-v2,768,4,200,200,1600,B1_raw,0.8703414062500001,0.8367566726493607
Wild,all-mpnet-base-v2,768,4,200,200,1600,B1b_SigmaT_wh,0.8156625,0.7958595561446944
Wild,all-mpnet-base-v2,768,4,200,200,1600,B1w_SigmaW_wh,0.83734609375,0.8138610562600516
