dataset,model,dim,seed,n_ref_mal,n_ref_safe,n_test,method,roc_auc,pr_auc
ToxicChat,Qwen3-Embedding-8B,4096,0,200,200,4682,B1_raw,0.9597659346182845,0.6873243344637947
ToxicChat,Qwen3-Embedding-8B,4096,0,200,200,4682,B1b_SigmaT_wh,0.960498144102693,0.6829836318702079
ToxicChat,Qwen3-Embedding-8B,4096,0,200,200,4682,B1w_SigmaW_wh,0.9661516229435303,0.705133812952004
ToxicChat,Qwen3-Embedding-8B,4096,1,200,200,4682,B1_raw,0.960204535349044,0.6588475912461679
ToxicChat,Qwen3-Embedding-8B,4096,1,200,200,4682,B1b_SigmaT_wh,0.9670650723993273,0.7396509942608774
ToxicChat,Qwen3-Embedding-8B,4096,1,200,200,4682,B1w_SigmaW_wh,0.9704264697353414,0.7553876319658656
ToxicChat,Qwen3-Embedding-8B,4096,2,200,200,4682,B1_raw,0.9672898099638486,0.6874197473803421
ToxicChat,Qwen3-Embedding-8B,4096,2,200,200,4682,B1b_SigmaT_wh,0.9722666595781699,0.703358815295591
ToxicChat,Qwen3-Embedding-8B,4096,2,200,200,4682,B1w_SigmaW_wh,0.9752353703095094,0.7159258742710003
ToxicChat,Qwen3-Embedding-8B,4096,3,200,200,4682,B1_raw,0.9639332456937383,0.6817248995769379
ToxicChat,Qwen3-Embedding-8B,4096,3,200,200,4682,B1b_SigmaT_wh,0.9702983934888937,0.7304288709526409
ToxicChat,Qwen3-Embedding-8B,4096,3,200,200,4682,B1w_SigmaW_wh,0.9736452916271966,0.736271289108997
ToxicChat,Qwen3-Embedding-8B,4096,4,200,200,4682,B1_raw,0.9626548997622132,0.6641201565835243
ToxicChat,Qwen3-Embedding-8B,4096,4,200,200,4682,B1b_SigmaT_wh,0.969475564018791,0.7327798635802603
ToxicChat,Qwen3-Embedding-8B,4096,4,200,200,4682,B1w_SigmaW_wh,0.9725348947358247,0.7472592658936509
Wild,Qwen3-Embedding-8B,4096,0,200,200,1600,B1_raw,0.8746624999999999,0.8592066819319105
Wild,Qwen3-Embedding-8B,4096,0,200,200,1600,B1b_SigmaT_wh,0.81828984375,0.8268282445832936
Wild,Qwen3-Embedding-8B,4096,0,200,200,1600,B1w_SigmaW_wh,0.83997734375,0.8431442042436198
Wild,Qwen3-Embedding-8B,4096,1,200,200,1600,B1_raw,0.88001796875,0.8645341118454098
Wild,Qwen3-Embedding-8B,4096,1,200,200,1600,B1b_SigmaT_wh,0.8122679687500001,0.8251475038576777
Wild,Qwen3-Embedding-8B,4096,1,200,200,1600,B1w_SigmaW_wh,0.8313015625,0.8371566775913633
Wild,Qwen3-Embedding-8B,4096,2,200,200,1600,B1_raw,0.87329296875,0.8571633346897383
Wild,Qwen3-Embedding-8B,4096,2,200,200,1600,B1b_SigmaT_wh,0.8273703125,0.8235752249470972
Wild,Qwen3-Embedding-8B,4096,2,200,200,1600,B1w_SigmaW_wh,0.84095234375,0.8292268024475696
Wild,Qwen3-Embedding-8B,4096,3,200,200,1600,B1_raw,0.8607093750000001,0.8458561253200035
Wild,Qwen3-Embedding-8B,4096,3,200,200,1600,B1b_SigmaT_wh,0.8269578125,0.8193460378551947
Wild,Qwen3-Embedding-8B,4096,3,200,200,1600,B1w_SigmaW_wh,0.83839765625,0.8283117426635661
Wild,Qwen3-Embedding-8B,4096,4,200,200,1600,B1_raw,0.8846375,0.8660757064303835
Wild,Qwen3-Embedding-8B,4096,4,200,200,1600,B1b_SigmaT_wh,0.8273484375,0.8153725754951885
Wild,Qwen3-Embedding-8B,4096,4,200,200,1600,B1w_SigmaW_wh,0.8447437499999999,0.8256318318468977
XSTest,Qwen3-Embedding-8B,4096,0,66,83,301,B1_raw,0.8687103405130039,0.8621607063809978
XSTest,Qwen3-Embedding-8B,4096,0,66,83,301,B1b_SigmaT_wh,0.9424881580123335,0.9366157614109657
XSTest,Qwen3-Embedding-8B,4096,0,66,83,301,B1w_SigmaW_wh,0.9412816158727321,0.9369775196187795
XSTest,Qwen3-Embedding-8B,4096,1,66,83,301,B1_raw,0.7920725712753598,0.8230132099524795
XSTest,Qwen3-Embedding-8B,4096,1,66,83,301,B1b_SigmaT_wh,0.9421306640450442,0.9237850335551822
XSTest,Qwen3-Embedding-8B,4096,1,66,83,301,B1w_SigmaW_wh,0.9411475556349986,0.9231449312162481
XSTest,Qwen3-Embedding-8B,4096,2,66,83,301,B1_raw,0.8057020287782645,0.8079085238881925
XSTest,Qwen3-Embedding-8B,4096,2,66,83,301,B1b_SigmaT_wh,0.9355617123961033,0.9210522479159102
XSTest,Qwen3-Embedding-8B,4096,2,66,83,301,B1w_SigmaW_wh,0.9345786039860577,0.920724007550244
XSTest,Qwen3-Embedding-8B,4096,3,66,83,301,B1_raw,0.8187952453302352,0.8226521849436448
XSTest,Qwen3-Embedding-8B,4096,3,66,83,301,B1b_SigmaT_wh,0.950576459022254,0.9463079334249842
XSTest,Qwen3-Embedding-8B,4096,3,66,83,301,B1w_SigmaW_wh,0.9489677361694521,0.9445423007366182
XSTest,Qwen3-Embedding-8B,4096,4,66,83,301,B1_raw,0.8494503530252927,0.855012968915224
XSTest,Qwen3-Embedding-8B,4096,4,66,83,301,B1b_SigmaT_wh,0.9197872910894629,0.9145896911507465
XSTest,Qwen3-Embedding-8B,4096,4,66,83,301,B1w_SigmaW_wh,0.9189829296630619,0.9140291661661828
