dataset,seed,n_test,n_ref_mal,n_ref_safe,method,roc_auc,pr_auc
ToxicChat,0,4682,200,200,EXT:deberta-v3-base-prompt-injection-v2,0.561358792313492,0.11993063058242934
ToxicChat,0,4682,200,200,EXT:toxic-bert,0.8032072225336866,0.1452989690064173
ToxicChat,0,4682,200,200,OURS:B1_raw,0.944610648210799,0.6528891981994951
ToxicChat,0,4682,200,200,OURS:B1b_SigmaT_wh,0.9608690819108009,0.6641808143083994
ToxicChat,1,4682,200,200,EXT:deberta-v3-base-prompt-injection-v2,0.5720374514276877,0.11853702172112937
ToxicChat,1,4682,200,200,EXT:toxic-bert,0.7812107313395324,0.14043126856094623
ToxicChat,1,4682,200,200,OURS:B1_raw,0.9490232373808649,0.6340594523741017
ToxicChat,1,4682,200,200,OURS:B1b_SigmaT_wh,0.9647778239604075,0.7243288517097024
ToxicChat,2,4682,200,200,EXT:deberta-v3-base-prompt-injection-v2,0.5742183724167262,0.12690247387416334
ToxicChat,2,4682,200,200,EXT:toxic-bert,0.8083036905291241,0.1464122071551397
ToxicChat,2,4682,200,200,OURS:B1_raw,0.9554173835714423,0.6429039995548421
ToxicChat,2,4682,200,200,OURS:B1b_SigmaT_wh,0.9593418330852359,0.7126880783383016
ToxicChat,3,4682,200,200,EXT:deberta-v3-base-prompt-injection-v2,0.5829203075763141,0.1273326733553873
ToxicChat,3,4682,200,200,EXT:toxic-bert,0.7803444042762967,0.14747041831081523
ToxicChat,3,4682,200,200,OURS:B1_raw,0.9494618381116244,0.6496724108373221
ToxicChat,3,4682,200,200,OURS:B1b_SigmaT_wh,0.9611796063951129,0.695325905945105
ToxicChat,4,4682,200,200,EXT:deberta-v3-base-prompt-injection-v2,0.5584202882440505,0.13942631365636582
ToxicChat,4,4682,200,200,EXT:toxic-bert,0.7941270999671352,0.16396610139634823
ToxicChat,4,4682,200,200,OURS:B1_raw,0.9559296885572333,0.6457028507849555
ToxicChat,4,4682,200,200,OURS:B1b_SigmaT_wh,0.9621051385156688,0.6876598064623219
Wild,0,1600,200,200,EXT:deberta-v3-base-prompt-injection-v2,0.84391328125,0.8237744384346791
Wild,0,1600,200,200,EXT:toxic-bert,0.7319484375,0.698185349500893
Wild,0,1600,200,200,OURS:B1_raw,0.87066875,0.8332459258371694
Wild,0,1600,200,200,OURS:B1b_SigmaT_wh,0.83020234375,0.8155563976306524
Wild,1,1600,200,200,EXT:deberta-v3-base-prompt-injection-v2,0.8365585937500001,0.8180641021059809
Wild,1,1600,200,200,EXT:toxic-bert,0.72407421875,0.684695429991742
Wild,1,1600,200,200,OURS:B1_raw,0.8709398437500001,0.8394145108862027
Wild,1,1600,200,200,OURS:B1b_SigmaT_wh,0.83961953125,0.8432540736859128
Wild,2,1600,200,200,EXT:deberta-v3-base-prompt-injection-v2,0.8384710937500001,0.8208532942874307
Wild,2,1600,200,200,EXT:toxic-bert,0.72057421875,0.6823863063092102
Wild,2,1600,200,200,OURS:B1_raw,0.8649875,0.8272879251347324
Wild,2,1600,200,200,OURS:B1b_SigmaT_wh,0.8346812499999999,0.8224294221123374
Wild,3,1600,200,200,EXT:deberta-v3-base-prompt-injection-v2,0.8387828124999999,0.8171770801156399
Wild,3,1600,200,200,EXT:toxic-bert,0.71050625,0.675032428634103
Wild,3,1600,200,200,OURS:B1_raw,0.85695703125,0.8277850495472124
Wild,3,1600,200,200,OURS:B1b_SigmaT_wh,0.8283148437500001,0.808104667973213
Wild,4,1600,200,200,EXT:deberta-v3-base-prompt-injection-v2,0.84480546875,0.8232579009799164
Wild,4,1600,200,200,EXT:toxic-bert,0.7308609375,0.6987709249557267
Wild,4,1600,200,200,OURS:B1_raw,0.8703414062500001,0.8367566726493607
Wild,4,1600,200,200,OURS:B1b_SigmaT_wh,0.8156625,0.7958595561446944
XSTest,0,301,66,83,EXT:deberta-v3-base-prompt-injection-v2,0.39078559299311827,0.363644388975717
XSTest,0,301,66,83,EXT:toxic-bert,0.6254356957726338,0.5263628948800301
XSTest,0,301,66,83,OURS:B1_raw,0.8154437393868978,0.8274823967129286
XSTest,0,301,66,83,OURS:B1b_SigmaT_wh,0.8957011350433461,0.8845152160346732
XSTest,1,301,66,83,EXT:deberta-v3-base-prompt-injection-v2,0.4160782911788363,0.3753137123246876
XSTest,1,301,66,83,EXT:toxic-bert,0.6230226114934311,0.5341371536745478
XSTest,1,301,66,83,OURS:B1_raw,0.7628474394494593,0.7879282871665452
XSTest,1,301,66,83,OURS:B1b_SigmaT_wh,0.8945392796496558,0.8771088899739254
XSTest,2,301,66,83,EXT:deberta-v3-base-prompt-injection-v2,0.39699705067476987,0.37047212045342526
XSTest,2,301,66,83,EXT:toxic-bert,0.6461703458754134,0.5711934289557176
XSTest,2,301,66,83,OURS:B1_raw,0.7757172222718741,0.7704885091141855
XSTest,2,301,66,83,OURS:B1b_SigmaT_wh,0.9007507373313075,0.8786477561328833
XSTest,3,301,66,83,EXT:deberta-v3-base-prompt-injection-v2,0.39248368933774247,0.3703085786072281
XSTest,3,301,66,83,EXT:toxic-bert,0.6664581285190814,0.584978418714555
XSTest,3,301,66,83,OURS:B1_raw,0.7772365716328536,0.7837378882794935
XSTest,3,301,66,83,OURS:B1b_SigmaT_wh,0.9152739297524354,0.8888194931448994
XSTest,4,301,66,83,EXT:deberta-v3-base-prompt-injection-v2,0.4148270622933238,0.3750044990463306
XSTest,4,301,66,83,EXT:toxic-bert,0.646885333809992,0.5703781027864432
XSTest,4,301,66,83,OURS:B1_raw,0.7943515953168291,0.8096934440511783
XSTest,4,301,66,83,OURS:B1b_SigmaT_wh,0.878630798105282,0.8634802413913553
