dataset,seed,n_ref_mal,n_ref_safe,n_test_attack,n_test_safe,obfuscation,method,roc_auc,pr_auc
ToxicChat,0,200,200,184,4498,clean,EXT:deberta-v3-base-prompt-injection-v2,0.561358792313492,0.11993209135075449
ToxicChat,0,200,200,184,4498,base64,EXT:deberta-v3-base-prompt-injection-v2,0.9633532777852959,0.42983359969188845
ToxicChat,0,200,200,184,4498,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.9736827478879503,0.49738446864761243
ToxicChat,0,200,200,184,4498,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.8496940669282966,0.23489329049910412
ToxicChat,0,200,200,184,4498,zero_width,EXT:deberta-v3-base-prompt-injection-v2,0.9914780965453245,0.6480288272360979
ToxicChat,0,200,200,184,4498,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.9673749927504012,0.4240501433180126
ToxicChat,0,200,200,184,4498,clean,EXT:toxic-bert,0.8032072225336865,0.14530016163971252
ToxicChat,0,200,200,184,4498,base64,EXT:toxic-bert,0.884161076420438,0.1603747195015296
ToxicChat,0,200,200,184,4498,leetspeak,EXT:toxic-bert,0.9252868424613838,0.20493735919419734
ToxicChat,0,200,200,184,4498,rot13,EXT:toxic-bert,0.8812092814197615,0.1321061490223203
ToxicChat,0,200,200,184,4498,zero_width,EXT:toxic-bert,0.8032072225336865,0.14530016163971252
ToxicChat,0,200,200,184,4498,homoglyph,EXT:toxic-bert,0.9479055908906374,0.2870625551484958
ToxicChat,1,200,200,184,4498,clean,EXT:deberta-v3-base-prompt-injection-v2,0.5720374514276876,0.1185384792947864
ToxicChat,1,200,200,184,4498,base64,EXT:deberta-v3-base-prompt-injection-v2,0.9598613876698824,0.4275134940635448
ToxicChat,1,200,200,184,4498,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.9755785179886712,0.5002068666599481
ToxicChat,1,200,200,184,4498,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.8482888530167998,0.2395656913686032
ToxicChat,1,200,200,184,4498,zero_width,EXT:deberta-v3-base-prompt-injection-v2,0.9914503064163783,0.6470612621403755
ToxicChat,1,200,200,184,4498,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.9697208421134029,0.429837048913103
ToxicChat,1,200,200,184,4498,clean,EXT:toxic-bert,0.7812107313395326,0.14044218904592062
ToxicChat,1,200,200,184,4498,base64,EXT:toxic-bert,0.8798378989695903,0.15558345776795243
ToxicChat,1,200,200,184,4498,leetspeak,EXT:toxic-bert,0.9233753648964758,0.196244908313197
ToxicChat,1,200,200,184,4498,rot13,EXT:toxic-bert,0.8773790766910898,0.12873314770316172
ToxicChat,1,200,200,184,4498,zero_width,EXT:toxic-bert,0.7812107313395326,0.14044218904592062
ToxicChat,1,200,200,184,4498,homoglyph,EXT:toxic-bert,0.9522203104761536,0.30168050009672726
ToxicChat,2,200,200,184,4498,clean,EXT:deberta-v3-base-prompt-injection-v2,0.5742183724167262,0.12690247387416337
ToxicChat,2,200,200,184,4498,base64,EXT:deberta-v3-base-prompt-injection-v2,0.962223548630309,0.44438427914144646
ToxicChat,2,200,200,184,4498,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.972977120266012,0.5059277648275071
ToxicChat,2,200,200,184,4498,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.8405414483731901,0.24670692036054587
ToxicChat,2,200,200,184,4498,zero_width,EXT:deberta-v3-base-prompt-injection-v2,0.9920363156572003,0.6602596232538172
ToxicChat,2,200,200,184,4498,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.9677791578865969,0.4284615087386056
ToxicChat,2,200,200,184,4498,clean,EXT:toxic-bert,0.8083036905291241,0.1464122071551397
ToxicChat,2,200,200,184,4498,base64,EXT:toxic-bert,0.8836765615635934,0.15803896048281615
ToxicChat,2,200,200,184,4498,leetspeak,EXT:toxic-bert,0.9220474800394377,0.1953972353944577
ToxicChat,2,200,200,184,4498,rot13,EXT:toxic-bert,0.8792579310611479,0.13039012406113115
ToxicChat,2,200,200,184,4498,zero_width,EXT:toxic-bert,0.8083036905291241,0.1464122071551397
ToxicChat,2,200,200,184,4498,homoglyph,EXT:toxic-bert,0.9435232083824695,0.2711386845176936
ToxicChat,3,200,200,184,4498,clean,EXT:deberta-v3-base-prompt-injection-v2,0.5829203075763141,0.12733267335538734
ToxicChat,3,200,200,184,4498,base64,EXT:deberta-v3-base-prompt-injection-v2,0.9630294623697488,0.4451301357443775
ToxicChat,3,200,200,184,4498,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.9721373750652464,0.5032555426988099
ToxicChat,3,200,200,184,4498,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.8432407156803989,0.2445744372904418
