model,dim,n_ref,seed,auc_cos,auc_svd,auc_full,auc_logreg,best_k_svd
all-MiniLM-L6-v2,384,2,0,0.7444208333333334,0.7418625000000001,,0.5949597222222223,2
all-MiniLM-L6-v2,384,2,1,0.7525208333333333,0.7714763888888888,,0.7510458333333333,2
all-MiniLM-L6-v2,384,2,2,0.7392416666666667,0.7394666666666667,,0.7683527777777778,2
all-MiniLM-L6-v2,384,2,3,0.7407833333333333,0.7136222222222222,,0.7824527777777777,2
all-MiniLM-L6-v2,384,2,4,0.7745833333333334,0.7751555555555556,,0.7471861111111111,1
all-MiniLM-L6-v2,384,2,5,0.6122333333333333,0.6094055555555555,,0.5170722222222222,1
all-MiniLM-L6-v2,384,2,6,0.7892583333333333,0.7889416666666667,,0.7873694444444445,2
all-MiniLM-L6-v2,384,2,7,0.7523652777777777,0.7549375,,0.7383458333333334,1
all-MiniLM-L6-v2,384,2,8,0.7144930555555556,0.7139763888888889,,0.7414097222222222,2
all-MiniLM-L6-v2,384,2,9,0.7554055555555557,0.7493222222222222,,0.7945583333333334,2
all-MiniLM-L6-v2,384,2,10,0.73205,0.741111111111111,,0.7378361111111111,2
all-MiniLM-L6-v2,384,2,11,0.6996249999999999,0.708425,,0.7652888888888888,1
all-MiniLM-L6-v2,384,2,12,0.7354583333333333,0.7080416666666667,,0.7939944444444444,2
all-MiniLM-L6-v2,384,2,13,0.7238166666666667,0.7176277777777778,,0.5462527777777778,1
all-MiniLM-L6-v2,384,2,14,0.726823611111111,0.7288486111111111,,0.6122486111111112,2
all-MiniLM-L6-v2,384,2,15,0.7838347222222222,0.7700375000000002,,0.8018236111111111,1
all-MiniLM-L6-v2,384,2,16,0.6643944444444445,0.6396305555555556,,0.7387722222222222,2
all-MiniLM-L6-v2,384,2,17,0.6047972222222222,0.554775,,0.6694166666666667,1
all-MiniLM-L6-v2,384,2,18,0.7988277777777777,0.7924638888888889,,0.7319333333333333,2
all-MiniLM-L6-v2,384,2,19,0.6240527777777778,0.6039166666666667,,0.6090305555555556,2
all-MiniLM-L6-v2,384,2,20,0.7748625,0.7686152777777778,,0.6579763888888889,2
all-MiniLM-L6-v2,384,2,21,0.5582777777777778,0.5797277777777778,,0.5775666666666666,1
all-MiniLM-L6-v2,384,2,22,0.5766777777777778,0.65895,,0.5289527777777778,2
all-MiniLM-L6-v2,384,2,23,0.7569194444444445,0.7622694444444446,,0.7093694444444444,1
all-MiniLM-L6-v2,384,2,24,0.6505819444444445,0.6302236111111111,,0.6233041666666667,1
all-MiniLM-L6-v2,384,2,25,0.6166027777777777,0.6344416666666667,,0.6378111111111111,2
all-MiniLM-L6-v2,384,2,26,0.6034972222222222,0.6099888888888888,,0.6002444444444445,2
all-MiniLM-L6-v2,384,2,27,0.5036958333333333,0.4503458333333333,,0.7134097222222222,2
all-MiniLM-L6-v2,384,2,28,0.7635208333333333,0.7630513888888888,,0.7120041666666665,2
all-MiniLM-L6-v2,384,2,29,0.7093152777777779,0.7092569444444444,,0.7015458333333333,2
all-MiniLM-L6-v2,384,2,30,0.6933958333333334,0.7023986111111111,,0.7794708333333334,2
all-MiniLM-L6-v2,384,2,31,0.7213736111111111,0.7191208333333334,,0.7872569444444444,2
all-MiniLM-L6-v2,384,2,32,0.7463541666666667,0.7497819444444443,,0.757148611111111,2
all-MiniLM-L6-v2,384,2,33,0.7383874999999999,0.7363125,,0.7803958333333334,1
all-MiniLM-L6-v2,384,2,34,0.7226430555555555,0.7090791666666667,,0.7779652777777778,1
all-MiniLM-L6-v2,384,2,35,0.7102319444444445,0.7305291666666667,,0.6001402777777778,2
all-MiniLM-L6-v2,384,2,36,0.7830513888888889,0.7849541666666666,,0.7597263888888889,2
all-MiniLM-L6-v2,384,2,37,0.5654055555555556,0.5645833333333333,,0.6783138888888889,2
all-MiniLM-L6-v2,384,2,38,0.6534833333333333,0.6563111111111111,,0.7242416666666667,1
all-MiniLM-L6-v2,384,2,39,0.7966388888888889,0.7547833333333333,,0.5985583333333333,2
all-MiniLM-L6-v2,384,2,40,0.7045263888888889,0.6978069444444444,,0.7189069444444445,2
all-MiniLM-L6-v2,384,2,41,0.6905125,0.7103708333333334,,0.7626430555555556,2
all-MiniLM-L6-v2,384,2,42,0.6250138888888889,0.6667722222222223,,0.6576083333333334,2
all-MiniLM-L6-v2,384,2,43,0.6945958333333333,0.6784541666666666,,0.6784430555555556,2
all-MiniLM-L6-v2,384,2,44,0.7286819444444445,0.7476597222222221,,0.7760541666666667,1
all-MiniLM-L6-v2,384,2,45,0.7427124999999999,0.7388347222222222,,0.7435347222222222,1
all-MiniLM-L6-v2,384,2,46,0.7559916666666666,0.7645305555555556,,0.6829027777777777,1
all-MiniLM-L6-v2,384,2,47,0.761123611111111,0.7372291666666667,,0.7547013888888889,2
all-MiniLM-L6-v2,384,2,48,0.7202694444444444,0.7045083333333334,,0.45357222222222215,2
all-MiniLM-L6-v2,384,2,49,0.6168222222222222,0.6109361111111111,,0.6122361111111112,1
all-MiniLM-L6-v2,384,2,50,0.8069388888888889,0.8018555555555555,,0.7841499999999999,1
all-MiniLM-L6-v2,384,2,51,0.7964402777777778,0.7950763888888889,,0.792676388888889,1
all-MiniLM-L6-v2,384,2,52,0.7678777777777778,0.7626916666666667,,0.7103527777777778,2
all-MiniLM-L6-v2,384,2,53,0.7352027777777779,0.7405,,0.7223138888888888,1
all-MiniLM-L6-v2,384,2,54,0.7395361111111111,0.7452888888888889,,0.7475638888888889,1
all-MiniLM-L6-v2,384,2,55,0.6478069444444444,0.6475958333333334,,0.6456930555555556,1
all-MiniLM-L6-v2,384,2,56,0.7761125,0.7806902777777778,,0.7642430555555556,1
all-MiniLM-L6-v2,384,2,57,0.713925,0.7221666666666666,,0.6317083333333333,2
all-MiniLM-L6-v2,384,2,58,0.7155875,0.708648611111111,,0.7597486111111111,2
all-MiniLM-L6-v2,384,2,59,0.6911416666666668,0.7011944444444446,,0.7405361111111112,1
all-MiniLM-L6-v2,384,2,60,0.7097291666666666,0.7126041666666667,,0.6648569444444444,1
all-MiniLM-L6-v2,384,2,61,0.6563319444444444,0.6697319444444445,,0.7440125,2
all-MiniLM-L6-v2,384,2,62,0.7009,0.7017388888888889,,0.6772055555555556,1
all-MiniLM-L6-v2,384,2,63,0.5613486111111111,0.5777013888888889,,0.4627402777777778,1
all-MiniLM-L6-v2,384,2,64,0.7321597222222223,0.7515208333333334,,0.7963625,2
all-MiniLM-L6-v2,384,2,65,0.6868972222222223,0.6859638888888888,,0.7316111111111112,2
all-MiniLM-L6-v2,384,2,66,0.658738888888889,0.6476055555555555,,0.6310888888888888,2
all-MiniLM-L6-v2,384,2,67,0.7270402777777777,0.7348708333333333,,0.7529458333333333,2
all-MiniLM-L6-v2,384,2,68,0.6878472222222223,0.7247916666666667,,0.6960333333333335,1
all-MiniLM-L6-v2,384,2,69,0.7687208333333333,0.7520097222222222,,0.7936180555555554,2
all-MiniLM-L6-v2,384,2,70,0.7678541666666667,0.7644958333333333,,0.7653791666666666,1
all-MiniLM-L6-v2,384,2,71,0.7032166666666667,0.7018027777777778,,0.7223361111111111,2
all-MiniLM-L6-v2,384,2,72,0.7093833333333335,0.718225,,0.6177694444444445,2
all-MiniLM-L6-v2,384,2,73,0.7141069444444444,0.7172236111111111,,0.7033986111111111,1
all-MiniLM-L6-v2,384,2,74,0.5797111111111111,0.5896694444444445,,0.63075,2
all-MiniLM-L6-v2,384,2,75,0.7624875,0.7589347222222222,,0.7503041666666665,2
all-MiniLM-L6-v2,384,2,76,0.7152041666666666,0.7201430555555555,,0.6711069444444444,1
all-MiniLM-L6-v2,384,2,77,0.7193055555555556,0.7193972222222222,,0.7183805555555555,2
all-MiniLM-L6-v2,384,2,78,0.7141263888888889,0.7191791666666667,,0.8048625,1
all-MiniLM-L6-v2,384,2,79,0.797376388888889,0.7778347222222222,,0.8101125,1
all-MiniLM-L6-v2,384,2,80,0.7208402777777778,0.7469291666666666,,0.5691847222222223,1
all-MiniLM-L6-v2,384,2,81,0.5722138888888889,0.6025944444444444,,0.48313333333333336,2
all-MiniLM-L6-v2,384,2,82,0.7704722222222222,0.7682833333333333,,0.7493916666666667,1
all-MiniLM-L6-v2,384,2,83,0.7536708333333334,0.7602458333333333,,0.7857375,1
all-MiniLM-L6-v2,384,2,84,0.715961111111111,0.7319527777777777,,0.7601944444444446,2
all-MiniLM-L6-v2,384,2,85,0.7175277777777779,0.7126333333333333,,0.7166944444444444,2
all-MiniLM-L6-v2,384,2,86,0.7695555555555555,0.7568111111111112,,0.7698305555555556,2
all-MiniLM-L6-v2,384,2,87,0.4951472222222222,0.4660833333333333,,0.6626277777777778,1
all-MiniLM-L6-v2,384,2,88,0.5300319444444443,0.5143486111111111,,0.6142263888888888,1
all-MiniLM-L6-v2,384,2,89,0.6848194444444444,0.6617083333333333,,0.7354333333333335,2
all-MiniLM-L6-v2,384,2,90,0.6999555555555556,0.6949666666666667,,0.7757194444444444,2
all-MiniLM-L6-v2,384,2,91,0.6691888888888888,0.6690027777777778,,0.4601888888888889,1
all-MiniLM-L6-v2,384,2,92,0.6219680555555555,0.5614625,,0.7370847222222222,2
all-MiniLM-L6-v2,384,2,93,0.5800069444444444,0.7225986111111111,,0.6990291666666666,1
all-MiniLM-L6-v2,384,2,94,0.6666680555555555,0.653276388888889,,0.6964347222222222,2
all-MiniLM-L6-v2,384,2,95,0.6771472222222223,0.6930194444444444,,0.7196555555555556,1
all-MiniLM-L6-v2,384,2,96,0.6361902777777778,0.6467263888888889,,0.5599180555555555,2
all-MiniLM-L6-v2,384,2,97,0.7028111111111112,0.7600944444444444,,0.7130472222222223,1
all-MiniLM-L6-v2,384,2,98,0.7978291666666667,0.7987819444444444,,0.6771513888888889,2
all-MiniLM-L6-v2,384,2,99,0.7886166666666666,0.7857833333333334,,0.7141638888888888,1
all-MiniLM-L6-v2,384,3,0,0.7769236111111111,0.7792930555555556,,0.7669124999999999,1
all-MiniLM-L6-v2,384,3,1,0.7634847222222223,0.7857458333333334,,0.8068791666666667,3
all-MiniLM-L6-v2,384,3,2,0.7709416666666666,0.7596277777777778,,0.8031333333333334,3
all-MiniLM-L6-v2,384,3,3,0.7634666666666667,0.7454194444444444,,0.8098194444444443,3
all-MiniLM-L6-v2,384,3,4,0.7825861111111111,0.7816444444444444,,0.7347,2
all-MiniLM-L6-v2,384,3,5,0.734575,0.7262305555555556,,0.6271333333333334,2
all-MiniLM-L6-v2,384,3,6,0.7928305555555555,0.7970555555555556,,0.7912388888888888,2
all-MiniLM-L6-v2,384,3,7,0.7814791666666667,0.7791152777777778,,0.7998041666666666,1
all-MiniLM-L6-v2,384,3,8,0.7286152777777777,0.7333180555555556,,0.7152513888888888,3
all-MiniLM-L6-v2,384,3,9,0.6683083333333333,0.6943833333333334,,0.7275972222222222,2
all-MiniLM-L6-v2,384,3,10,0.7316055555555555,0.7449583333333333,,0.7088444444444444,3
all-MiniLM-L6-v2,384,3,11,0.6577583333333333,0.667286111111111,,0.708663888888889,2
all-MiniLM-L6-v2,384,3,12,0.7372777777777778,0.7317333333333333,,0.7885972222222223,2
all-MiniLM-L6-v2,384,3,13,0.7605916666666667,0.7506583333333333,,0.6506194444444445,3
all-MiniLM-L6-v2,384,3,14,0.6591569444444445,0.6559097222222222,,0.6524625,3
all-MiniLM-L6-v2,384,3,15,0.7413486111111112,0.7440486111111111,,0.7300652777777776,1
all-MiniLM-L6-v2,384,3,16,0.7239249999999999,0.7173305555555556,,0.7872388888888889,2
all-MiniLM-L6-v2,384,3,17,0.6662833333333333,0.6443166666666666,,0.7404444444444445,2
all-MiniLM-L6-v2,384,3,18,0.7778361111111112,0.7828333333333334,,0.7876888888888889,2
all-MiniLM-L6-v2,384,3,19,0.6651,0.6691305555555556,,0.7040444444444445,1
all-MiniLM-L6-v2,384,3,20,0.7539152777777778,0.7495930555555554,,0.6787541666666668,2
all-MiniLM-L6-v2,384,3,21,0.5949555555555556,0.6284416666666667,,0.6841444444444443,1
all-MiniLM-L6-v2,384,3,22,0.6707777777777777,0.6900611111111111,,0.5978944444444445,3
all-MiniLM-L6-v2,384,3,23,0.733688888888889,0.757311111111111,,0.7721722222222223,1
all-MiniLM-L6-v2,384,3,24,0.6107097222222222,0.6531958333333333,,0.6749430555555556,1
all-MiniLM-L6-v2,384,3,25,0.6829583333333333,0.7240722222222223,,0.743763888888889,3
all-MiniLM-L6-v2,384,3,26,0.6705722222222222,0.6776222222222223,,0.6808305555555555,3
all-MiniLM-L6-v2,384,3,27,0.6047125,0.6604458333333334,,0.6281736111111111,3
all-MiniLM-L6-v2,384,3,28,0.7544458333333335,0.7498180555555556,,0.6923513888888888,2
all-MiniLM-L6-v2,384,3,29,0.7008513888888889,0.7107291666666666,,0.6930458333333334,3
all-MiniLM-L6-v2,384,3,30,0.7142930555555556,0.7246458333333334,,0.7952069444444445,1
all-MiniLM-L6-v2,384,3,31,0.7592041666666666,0.7568125,,0.8102347222222221,2
all-MiniLM-L6-v2,384,3,32,0.7931569444444444,0.7859847222222222,,0.7708430555555555,2
all-MiniLM-L6-v2,384,3,33,0.7463013888888889,0.7331902777777778,,0.7864402777777778,2
all-MiniLM-L6-v2,384,3,34,0.6792791666666667,0.680873611111111,,0.7714125000000001,3
all-MiniLM-L6-v2,384,3,35,0.7259763888888888,0.7225569444444444,,0.7083013888888889,1
all-MiniLM-L6-v2,384,3,36,0.7405680555555555,0.7521847222222223,,0.7496208333333334,2
all-MiniLM-L6-v2,384,3,37,0.5985583333333333,0.5613861111111111,,0.6633888888888889,3
all-MiniLM-L6-v2,384,3,38,0.7238194444444443,0.736461111111111,,0.7933277777777779,1
all-MiniLM-L6-v2,384,3,39,0.7906361111111111,0.7723972222222223,,0.6709444444444445,1
all-MiniLM-L6-v2,384,3,40,0.7029208333333334,0.7349680555555556,,0.7714041666666667,2
all-MiniLM-L6-v2,384,3,41,0.7420930555555556,0.7576458333333332,,0.7882208333333334,1
all-MiniLM-L6-v2,384,3,42,0.6386972222222222,0.6682722222222223,,0.7083166666666667,3
all-MiniLM-L6-v2,384,3,43,0.7319041666666667,0.7284847222222222,,0.6721236111111111,3
all-MiniLM-L6-v2,384,3,44,0.7434180555555554,0.7726986111111112,,0.7696458333333334,2
all-MiniLM-L6-v2,384,3,45,0.7741458333333333,0.7806763888888889,,0.743926388888889,1
all-MiniLM-L6-v2,384,3,46,0.7389027777777777,0.76265,,0.6966999999999999,1
all-MiniLM-L6-v2,384,3,47,0.7974430555555556,0.782698611111111,,0.7797930555555556,3
all-MiniLM-L6-v2,384,3,48,0.7099944444444445,0.7105805555555555,,0.5183777777777778,3
all-MiniLM-L6-v2,384,3,49,0.6033555555555555,0.577475,,0.6377611111111111,2
all-MiniLM-L6-v2,384,3,50,0.7871805555555557,0.7908472222222223,,0.7848722222222222,1
all-MiniLM-L6-v2,384,3,51,0.7900708333333335,0.7848347222222223,,0.8071652777777778,2
all-MiniLM-L6-v2,384,3,52,0.7758194444444445,0.764075,,0.8089444444444446,3
all-MiniLM-L6-v2,384,3,53,0.7483194444444444,0.7535972222222223,,0.744975,2
all-MiniLM-L6-v2,384,3,54,0.7281444444444445,0.7579,,0.7374611111111111,1
all-MiniLM-L6-v2,384,3,55,0.7287569444444444,0.7281208333333333,,0.6644930555555555,2
all-MiniLM-L6-v2,384,3,56,0.7525861111111112,0.7619152777777778,,0.7439902777777778,1
all-MiniLM-L6-v2,384,3,57,0.6807583333333335,0.7012,,0.672561111111111,3
all-MiniLM-L6-v2,384,3,58,0.7346625,0.7262625,,0.7692763888888888,2
all-MiniLM-L6-v2,384,3,59,0.6616333333333335,0.6868083333333332,,0.7369583333333334,1
all-MiniLM-L6-v2,384,3,60,0.6796736111111112,0.7107069444444445,,0.5155152777777778,1
all-MiniLM-L6-v2,384,3,61,0.6405625,0.6761486111111111,,0.7615708333333333,2
all-MiniLM-L6-v2,384,3,62,0.7219749999999999,0.6896638888888889,,0.7181972222222223,1
all-MiniLM-L6-v2,384,3,63,0.6129458333333333,0.6413236111111111,,0.5415486111111111,2
all-MiniLM-L6-v2,384,3,64,0.7548680555555556,0.775076388888889,,0.8363180555555556,2
all-MiniLM-L6-v2,384,3,65,0.6885500000000001,0.6846027777777779,,0.7345444444444443,3
all-MiniLM-L6-v2,384,3,66,0.7270694444444444,0.7256638888888889,,0.7202194444444444,3
all-MiniLM-L6-v2,384,3,67,0.7367652777777779,0.7376375,,0.6810291666666666,3
all-MiniLM-L6-v2,384,3,68,0.6506138888888888,0.7023277777777777,,0.7294944444444444,3
all-MiniLM-L6-v2,384,3,69,0.7410208333333334,0.756773611111111,,0.7161347222222223,1
all-MiniLM-L6-v2,384,3,70,0.7868291666666666,0.7858402777777778,,0.8181180555555555,1
all-MiniLM-L6-v2,384,3,71,0.708175,0.7153583333333333,,0.7454111111111111,1
all-MiniLM-L6-v2,384,3,72,0.751875,0.760963888888889,,0.6130166666666665,2
all-MiniLM-L6-v2,384,3,73,0.7425097222222222,0.7491541666666667,,0.7528430555555555,1
all-MiniLM-L6-v2,384,3,74,0.6603249999999999,0.6937444444444445,,0.6374055555555556,3
all-MiniLM-L6-v2,384,3,75,0.7663458333333333,0.7647263888888889,,0.7685236111111111,1
all-MiniLM-L6-v2,384,3,76,0.6705208333333332,0.6826263888888888,,0.6429680555555556,1
all-MiniLM-L6-v2,384,3,77,0.7546861111111111,0.7611444444444444,,0.7676944444444445,3
all-MiniLM-L6-v2,384,3,78,0.6972375000000001,0.7280430555555555,,0.800498611111111,1
all-MiniLM-L6-v2,384,3,79,0.7736652777777777,0.7823708333333332,,0.7146208333333334,1
all-MiniLM-L6-v2,384,3,80,0.6955902777777778,0.6965458333333334,,0.5462902777777778,3
all-MiniLM-L6-v2,384,3,81,0.6298194444444444,0.6246194444444445,,0.5066722222222222,2
all-MiniLM-L6-v2,384,3,82,0.7702166666666667,0.77285,,0.7696361111111112,1
all-MiniLM-L6-v2,384,3,83,0.7626069444444444,0.7638541666666666,,0.8221875,2
all-MiniLM-L6-v2,384,3,84,0.7412805555555555,0.7566277777777778,,0.7590749999999999,3
all-MiniLM-L6-v2,384,3,85,0.6863527777777778,0.6882638888888889,,0.6496333333333334,3
all-MiniLM-L6-v2,384,3,86,0.7870472222222222,0.7965833333333334,,0.7776972222222222,3
all-MiniLM-L6-v2,384,3,87,0.6801416666666666,0.7069527777777778,,0.7614222222222222,2
all-MiniLM-L6-v2,384,3,88,0.6567708333333333,0.6699430555555556,,0.7100597222222222,1
all-MiniLM-L6-v2,384,3,89,0.6691027777777777,0.6555583333333332,,0.6839222222222222,3
all-MiniLM-L6-v2,384,3,90,0.7307722222222222,0.7387222222222223,,0.8147361111111111,3
all-MiniLM-L6-v2,384,3,91,0.7105388888888889,0.7045055555555555,,0.601736111111111,1
all-MiniLM-L6-v2,384,3,92,0.7361125,0.7140430555555556,,0.7879625,2
all-MiniLM-L6-v2,384,3,93,0.6021569444444446,0.7021125,,0.7386097222222222,1
all-MiniLM-L6-v2,384,3,94,0.7446180555555556,0.7514402777777778,,0.7556847222222222,3
all-MiniLM-L6-v2,384,3,95,0.7199166666666668,0.7307750000000001,,0.7476722222222223,1
all-MiniLM-L6-v2,384,3,96,0.6490430555555555,0.6513847222222222,,0.6074569444444444,3
all-MiniLM-L6-v2,384,3,97,0.7306805555555556,0.7606916666666665,,0.7384583333333332,1
all-MiniLM-L6-v2,384,3,98,0.7833930555555555,0.7933097222222221,,0.7212347222222222,3
all-MiniLM-L6-v2,384,3,99,0.7881055555555556,0.7836166666666666,,0.7364527777777777,2
all-MiniLM-L6-v2,384,4,0,0.7891791666666667,0.7938652777777778,,0.7842125,1
all-MiniLM-L6-v2,384,4,1,0.7735569444444446,0.7927208333333333,,0.8310791666666667,2
