dataset,seed,method,n_ref,n_val,n_test,roc_auc,pr_auc
ToxicChat,0,RSFI-SVD,200,200,4682,0.7031343855506534,0.15082972720549756
ToxicChat,0,naive_cosine,200,200,4682,0.9190538329294309,0.42675635754482627
ToxicChat,0,LogReg,400,0,4682,0.9717967439259305,0.6136754533004972
ToxicChat,1,RSFI-SVD,200,200,4682,0.6658821640879056,0.15642239166766156
ToxicChat,1,naive_cosine,200,200,4682,0.9182693303506699,0.3897795673474973
ToxicChat,1,LogReg,400,0,4682,0.976498581163653,0.5780228681415637
ToxicChat,2,RSFI-SVD,200,200,4682,0.6165957248493134,0.16330978763869533
ToxicChat,2,naive_cosine,200,200,4682,0.9390936017730277,0.4145871697928765
ToxicChat,2,LogReg,400,0,4682,0.976483046459123,0.6372748134629873
ToxicChat,3,RSFI-SVD,200,200,4682,0.6695871911182916,0.13342954393252376
ToxicChat,3,naive_cosine,200,200,4682,0.918427266513391,0.37899053287974455
ToxicChat,3,LogReg,400,0,4682,0.9703261252304315,0.4819145581338708
ToxicChat,4,RSFI-SVD,200,200,4682,0.6861057602684397,0.1199420234278214
ToxicChat,4,naive_cosine,200,200,4682,0.9441553263323598,0.3606618828026201
ToxicChat,4,LogReg,400,0,4682,0.9787873609643944,0.5515898561997287
