model,dim,n_ref,RAW_COS,SVD_ONLY,FULL_ZCA,LOGREG
all-MiniLM-L6-v2,384,2,0.75031,0.7331216666666667,,0.7289100000000001
all-MiniLM-L6-v2,384,5,0.7713269444444444,0.7832472222222222,,0.7942716666666667
all-MiniLM-L6-v2,384,10,0.7624416666666668,0.7835150000000001,0.7786711111111111,0.8157905555555555
all-MiniLM-L6-v2,384,50,0.771345,0.8068333333333333,0.8132027777777779,0.8589055555555556
all-MiniLM-L6-v2,384,200,0.7702922222222223,0.8196016666666667,0.7883922222222222,0.8702605555555556
BAAI/bge-large-en-v1.5,1024,2,0.7574283333333333,0.7709216666666667,,0.7454238888888888
BAAI/bge-large-en-v1.5,1024,5,0.7683880555555556,0.8106450000000001,,0.8040799999999999
BAAI/bge-large-en-v1.5,1024,10,0.7628166666666666,0.8257622222222221,0.8195055555555555,0.8313166666666667
BAAI/bge-large-en-v1.5,1024,50,0.7683477777777777,0.8285161111111112,0.8365911111111111,0.8680005555555557
BAAI/bge-large-en-v1.5,1024,200,0.7666327777777777,0.8279161111111112,0.847065,0.8785427777777777
Qwen/Qwen3-Embedding-8B,4096,2,0.8115847222222221,0.8190208333333333,,0.7907080555555556
Qwen/Qwen3-Embedding-8B,4096,5,0.8077497222222222,0.8337419444444446,,0.8183486111111111
Qwen/Qwen3-Embedding-8B,4096,10,0.7987569444444444,0.8418780555555555,0.8481525000000001,0.8494197222222223
Qwen/Qwen3-Embedding-8B,4096,50,0.7999830555555555,0.8498791666666667,0.8513597222222222,0.8745836111111112
Qwen/Qwen3-Embedding-8B,4096,200,0.7974291666666666,0.8372852777777778,0.8600708333333333,0.8811336111111112
