dataset,seed,dim,n_ref_mal,n_ref_safe,P1_i_abs_err,P1_i_rel,P1_ii_max_abs,T1_rel_trace,C1_rel_err,r_W
Wild,0,768,200,200,1.483e-06,7.392e-07,6.032e-02,6.271e-10,9.575e-02,4.3152
Wild,1,768,200,200,1.622e-06,8.104e-07,5.509e-02,4.028e-09,9.505e-02,4.2661
Wild,2,768,200,200,1.707e-06,8.463e-07,7.890e-02,3.575e-09,9.500e-02,4.4688
Wild,3,768,200,200,1.781e-06,8.968e-07,8.108e-02,7.900e-10,8.874e-02,4.2514
Wild,4,768,200,200,1.306e-06,6.591e-07,9.590e-02,1.423e-08,9.824e-02,3.9805
ToxicChat,0,768,200,200,2.354e-06,1.111e-06,8.600e-03,1.126e-10,1.080e-01,5.7489
ToxicChat,1,768,200,200,2.528e-06,1.189e-06,2.274e-02,9.481e-09,1.057e-01,6.1146
ToxicChat,2,768,200,200,2.455e-06,1.146e-06,6.897e-03,4.657e-09,1.104e-01,6.2748
ToxicChat,3,768,200,200,2.446e-06,1.144e-06,2.555e-02,3.735e-09,1.099e-01,6.2021
ToxicChat,4,768,200,200,2.356e-06,1.115e-06,3.350e-02,4.944e-09,1.078e-01,5.6598
XSTest,0,768,200,200,2.013e-06,9.958e-07,8.068e-03,2.167e-09,7.778e-02,5.1543
XSTest,1,768,200,200,1.926e-06,9.574e-07,7.182e-03,8.554e-09,7.694e-02,5.0074
XSTest,2,768,200,200,2.007e-06,9.947e-07,7.354e-03,1.385e-08,7.673e-02,5.1167
XSTest,3,768,200,200,1.903e-06,9.418e-07,5.485e-03,1.066e-08,7.746e-02,5.1472
XSTest,4,768,200,200,1.986e-06,9.820e-07,6.445e-03,7.329e-09,7.737e-02,5.1912
